IngreNo,IngreName,IngreSeason,IngreCal,IngreSubCatNo
AA0001,牛肉,12,1.489867208,AA
AA0002,牛絞肉,12,2.626481482,AA
AA0003,牛肉絲,12,3,AA
AA0004,牛肉片,12,3,AA
AA0005,牛排,12,4.18,AA
AA0006,肩胛小排,12,2.4,AA
AA0007,牛里肌,12,3,AA
AA0008,牛肩肉,12,3.42,AA
AA0009,板腱肉,12,1,AA
AA0010,肋眼牛排,12,2.57,AA
AA0011,牛小排,12,3.886666667,AA
AA0012,牛肋排,12,4,AA
AA0013,丁骨牛排,12,2.166666667,AA
AA0014,紐約克牛排,12,2.98,AA
AA0015,沙朗牛排,12,2.639313906,AA
AA0016,腓力牛排,12,1.33,AA
AA0017,牛菲力,12,2.009166667,AA
AA0018,牛腰,12,2.98,AA
AA0019,牛後腿肉,12,1.315,AA
AA0020,牛臀肉,12,1.734747475,AA
AA0021,牛腩,12,3.3,AA
AA0022,雪花牛肉,12,3.66,AA
AA0023,牛五花肉,12,3.66,AA
AA0024,牛腱,12,1.15,AA
AB0001,牛鞭,12,1.17,AB
AB0002,牛腸,12,2.580645161,AB
AB0003,牛尾,12,1.5,AB
AB0004,牛舌,12,1.96,AB
AB0005,牛心,12,1.216507937,AB
AB0006,牛肝,12,1.548147541,AB
AB0007,牛骨,12,2,AB
AB0008,牛筋,12,1.225,AB
AB0009,牛肚,12,0.9388954635,AB
AB0010,牛雜,12,8.954444444,AB
AB0011,牛頭皮,12,6.93,AB
AB0012,牛脂,12,8.954444444,AB
AC0001,牛肉火腿,12,0.96,AC
AC0002,牛肉丸子,12,1.713383838,AC
BA0001,豬肉,12,3.668633561,BA
BA0002,肥豬肉,12,7.053333333,BA
BA0003,豬瘦肉,12,2.53,BA
BA0004,豬肉片,12,1.755,BA
BA0005,豬肉丁,12,1.755,BA
BA0006,豬肉塊,12,1.755,BA
BA0007,豬絞肉,12,2.549761905,BA
BA0008,豬肉絲,12,1.876666667,BA
BA0009,豬肉條,12,1.876666667,BA
BA0010,豬排,12,3.294413919,BA
BA0011,乳豬,12,3.294413919,BA
BA0012,松阪豬,12,1.4,BA
BA0013,豬梅花肉,12,3.355,BA
BA0014,梅花肉片,12,3.355,BA
BA0015,豬胛心肉,12,1.981428571,BA
BA0016,胛心排,12,1.981428571,BA
BA0017,豬軟骨排,12,2.86993295,BA
BA0018,前排肉,12,2.86993295,BA
BA0019,豬里肌,12,1.87,BA
BA0020,豬里肌肉片,12,1.87,BA
BA0021,二層肉,12,5.9,BA
BA0022,龍骨,12,2,BA
BA0023,豬里肌肉排,12,1.87,BA
BA0024,排骨,12,2,BA
BA0025,豬五花肉,12,3.9,BA
BA0026,五花豬肉片,12,3.9,BA
BA0027,子排,12,3.45,BA
BA0028,豬肋排,12,3.459904762,BA
BA0029,豬後腿肉,12,1.993362901,BA
BA0030,豬腳,12,2.23,BA
BA0031,蹄膀,12,3.694468992,BA
BA0032,豬腱子肉,12,1.55,BA
BA0033,嘴邊肉,12,1.4,BA
BA0034,肝連肉,12,2.53,BA
BB0001,虎掌,12,1.59,BB
BB0002,豬蹄筋,12,1.56,BB
BB0003,豬耳朵,12,2.62,BB
BB0004,豬尾巴,12,3.5175,BB
BB0005,豬皮,12,3.63,BB
BB0006,豬骨,12,2,BB
BB0008,白表,12,8.9,BB
BB0009,網紗油,12,8.9,BB
BB0010,豬舌,12,2.124691358,BB
BB0011,豬心,12,1.288467041,BB
BB0012,豬肝,12,1.19,BB
BB0013,豬腸,12,2.370987654,BB
BB0014,豬腦,12,1.279015152,BB
BB0015,豬血,12,0.3395484237,BB
BB0017,豬肺,12,0.8771958763,BB
BB0018,豬肚,12,1.4450297,BB
BB0019,腰子,12,2.09,BB
BB0020,腰尺,12,2.09,BB
BB0021,豬小腸,12,1.32,BB
BB0022,豬大腸,12,2.13,BB
BB0023,粉腸,12,2.13,BB
BB0024,生腸,12,2.13,BB
BB0025,豬小肚,12,2.25,BB
BB0026,豬大腸頭,12,2.13,BB
BB0027,豬眼筋,12,1.56,BB
BB0028,豬脆管,12,2.13,BB
BC0001,貢丸,12,1.699501401,BC
BC0002,肉鬆,12,3.822222222,BC
BC0003,肉角,12,3.822222,BC
BC0004,鹹肉,12,3.883333333,BC
BC0005,臘肉,12,3.834126984,BC
BC0006,臘腸,12,5.84,BC
BC0007,肝腸,12,3.44,BC
BC0008,辣腸,12,3.44,BC
BC0009,香腸,12,3.44,BC
BC0010,法蘭克福腸,12,3.44,BC
BC0011,義式肉腸,12,3.44,BC
BC0012,午餐肉,12,2.358125,BC
BC0013,匈牙利辣腸,12,3.44,BC
BC0014,西班牙辣腸,12,3.44,BC
BC0015,起司腸,12,3.28,BC
BC0016,培根,12,3.09,BC
BC0017,火腿,12,2.170289649,BC
BC0018,洋火腿,12,2.433333333,BC
BC0019,熱狗,12,2.673428571,BC
BC0020,膨皮,12,3.444,BC
BC0021,肉丸,12,5,BC
CA0001,雞肉,12,2.0925,CA
CA0002,雞丁,12,1.0375,CA
CA0003,雞柳,12,1.0375,CA
CA0004,雞絞肉,12,1.0375,CA
CA0005,雞蓉,12,1.0375,CA
CA0006,雞肉絲,12,1.0375,CA
CA0007,雞胸肉,12,3.470559678,CA
CA0008,雞里肌肉,12,1.416666667,CA
CA0009,全雞,12,2.32,CA
CA0010,半雞,12,2,CA
CA0011,放山雞,12,2,CA
CA0012,珠雞,12,2,CA
CA0013,水雞,12,2,CA
CA0014,春雞,12,2.26,CA
CA0015,烏骨雞肉,12,1.494166667,CA
CA0016,雞腳,12,2.28,CA
CA0017,雞腿,12,1.425,CA
CA0018,雞腿肉,12,2.077777778,CA
CA0019,雞腿排,12,2.077777778,CA
CA0020,棒棒腿,12,1.42,CA
CA0021,雞翅,12,3.071058773,CA
CA0022,雞屁股,12,4.5,CA
CA0023,雞皮,12,4.127444444,CA
CB0001,雞肝,12,1.288594771,CB
CB0002,雞心,12,0.7345739645,CB
CB0003,雞胗,12,0.76425,CB
CB0004,雞睪丸,12,2,CB
CB0005,雞油,12,8.92962963,CB
CB0006,雞骨,12,1,CB
CB0007,雞腸,12,2.424242424,CB
CB0008,雞血,12,0.49,CB
CB0009,雞軟骨,12,1,CB
DA0001,羊肉,12,1.702793327,DA
DA0002,羊肉片,12,1.759,DA
DA0003,羊肩肉,12,2,DA
DA0004,羊腰脊肉,12,2,DA
DA0005,羊里肌肉,12,2.352941177,DA
DA0006,羊胸肉,12,2.15,DA
DA0007,小羔羊排,12,2,DA
DA0008,羊排,12,2,DA
DA0009,羊腿,12,1.913333333,DA
DA0010,羊腩,12,2.03,DA
DA0011,羊腱,12,2,DA
DA0012,羊肚,12,0.87,DA
DB0001,羊睪丸,12,2,DB
DB0002,羊鞭,12,2,DB
DB0003,羊大骨,12,2,DB
DB0004,羊架,12,2,DB
DB0005,羊奶,12,0.67,DB
EA0001,鵝肉,12,2.490683304,EA
EA0002,鵝胸肉,12,1.87,EA
EA0003,鵝腿,12,2.92,EA
EA0004,鵝腿肉,12,2.92,EA
EA0005,鵝掌,12,2.5,EA
EA0006,鵝肝,12,1.297058243,EA
EA0007,鵝腸,12,1.29,EA
EA0008,鵝油,12,8.59,EA
EA0009,鵝血,12,0.49,EA
EA0010,鵝胗,12,1.29,EA
EA0011,鵝頭,12,2.49,EA
EA0012,鵝肉丸,12,2.49,EA
EA0013,鵝心,12,1.29,EA
EB0001,鴨,12,2.625882353,EB
EB0002,菜鴨,12,2.62,EB
EB0003,水鴨,12,2.62,EB
EB0004,鴨肉條,12,2.31,EB
EB0005,鴨肉,12,2.310769231,EB
EB0006,鴨柳,12,2.3,EB
EB0007,鴨胸,12,0.9,EB
EB0008,鴨頭,12,1.63,EB
EB0009,鴨脖子,12,1.63,EB
EB0010,鴨舌頭,12,2.841598361,EB
EB0011,鴨翅膀,12,1.639776119,EB
EB0012,鴨腳,12,1.76059322,EB
EB0013,鴨腿,12,1.76,EB
EB0014,鴨腿肉,12,1.76,EB
EB0015,鴨心,12,1.43,EB
EB0016,鴨肝,12,1.388424242,EB
EB0017,鴨腸,12,1.29,EB
EB0018,鴨胗,12,1.119763863,EB
EB0019,鴨血,12,0.6431129477,EB
EB0020,鴨油,12,8.97,EB
EB0021,鴨骨,12,0,EB
EC0001,田雞,12,1.055555556,EC
EC0002,鴿肉,12,2.935238095,EC
EC0003,鴕鳥肉,12,0.93,EC
EC0004,鴕鳥頸肉,12,0.93,EC
EC0006,鴕鳥腩肉,12,0.93,EC
EC0007,鹿肉,12,1.233333333,EC
EC0008,螺肉,12,1.076923077,EC
EC0009,田螺,12,1.076923077,EC
EC0010,象牙鳳螺,12,0.9547826087,EC
EC0011,蠑螺,12,0.9795454545,EC
EC0012,香螺,12,1.076923077,EC
EC0013,珠螺,12,1.076923077,EC
EC0014,螺,12,1,EC
EC0015,鮑片,12,1,EC
EC0016,乾螺頭,12,1,EC
EC0017,蛇肉,12,0.85,EC
EC0018,鵪鶉,12,1.365517241,EC
EC0019,麥皮蟲,12,1.21,EC
EC0020,蟋蟀,12,1.21,EC
EC0021,兔肉,12,1.144821429,EC
EC0022,藤壺,12,1.394702608,EC
EC0023,火雞肉,12,2.96448052,EC
EC0024,鴕鳥腱肉,12,0.93,EC
FA0001,魷魚,5,1.823306122,FA
FA0002,魷魚乾,12,1.823306122,FA
FA0003,魷魚嘴,12,1.823306122,FA
FA0004,花枝,8,1.597224305,FA
FA0005,透抽,8,1.095890411,FA
FA0006,小卷,12,0.7356071429,FA
FA0007,章魚,12,0.7646560847,FA
FA0008,軟絲仔 ,12,0.7356071429,FA
FA0009,海參,12,1.769004283,FA
FA0010,海蜇皮,12,0.31,FA
FA0011,海蜇頭,12,0.74,FA
FA0012,海膽,12,1.481481482,FA
FA0013,墨魚汁,12,0.52,FA
FB0001,蚌,12,1.394702608,FB
FB0002,蚌殼,12,0,FB
FB0003,蛤,12,1.394702608,FB
FB0004,蛤乾,12,1.394702608,FB
FB0005,海瓜子,12,0.490797546,FB
FB0006,九孔,12,1.822262587,FB
FB0007,竹蟶,12,0.72,FB
FB0008,西施舌,12,0.72,FB
FB0009,蘆筍貝,12,0.72,FB
FB0010,蘭花蚌,12,1.394702608,FB
FB0011,北極貝,12,1.394702608,FB
FB0012,象拔蚌,12,1.394702608,FB
FB0013,鮑魚,7,1.754416226,FB
FB0014,扇貝,12,1.824,FB
FB0015,干貝,12,1.644166667,FB
FB0016,蜆,12,2.94,FB
FB0017,牡蠣,2,3.243476136,FB
FB0018,榮螺肉,12,1,FB
FC0001,蝦,12,1.258793178,FC
FC0002,車蝦,12,0.86,FC
FC0003,蝦仁,12,0.8832590234,FC
FC0004,蝦仁乾,12,0.8832590234,FC
FC0005,蝦丁,12,0.8832590234,FC
FC0006,炸蝦,12,2.24,FC
FC0007,蝦泥,12,0.8832590234,FC
FC0008,蝦肉丁,12,0.8832590234,FC
FC0009,白剌蝦,12,1.258793178,FC
FC0010,櫻花蝦,12,1.066666667,FC
FC0011,蝦母,12,1.258793178,FC
FC0012,海蝦,12,1.043006536,FC
FC0013,溪蝦,12,1.258793178,FC
FC0014,蝦蛄,12,0.9411764706,FC
FC0015,蝦米,12,2.864708995,FC
FC0016,蝦籽,12,1.258793178,FC
FC0017,蝦皮,12,1.258793178,FC
FC0018,蝦醬,12,0.99,FC
FC0019,蝦卵,12,1.34,FC
FC0021,蝦漿,12,0.8832590234,FC
FC0022,蝦丸,12,1.630793651,FC
FC0023,蝦殼,12,0.8832590234,FC
FC0024,蝦球,12,1.3,FC
FC0025,蝦頭,12,0.8832590234,FC
FC0026,蝦排,12,2.17,FC
FC0028,熟蝦,12,1.258793178,FC
FC0029,紅蟹,12,0.7955813953,FC
FC0030,旭蟹,12,0.78,FC
FC0031,海蟹,12,1.182292605,FC
FC0032,螃蟹,12,0.7955813953,FC
FC0033,蟹肉,12,0.7483333333,FC
FC0034,蟹黃,12,6.6,FC
FC0035,蟹腳,12,0.7483333333,FC
FC0036,軟殼蟹,12,0.7955813953,FC
FC0037,大閘蟹,12,0.7955813953,FC
FC0038,毛蟹,12,0.8163265306,FC
FC0039,帝王蟹,12,0.7955813953,FC
FC0040,鱈場蟹,12,0.7955813953,FC
FC0041,熟地蟹,12,0.7955813953,FC
FC0042,蟳,12,1.43,FC
FC0043,膏蟹,12,0.8,FC
FC0044,三點蟹,12,0.7955813953,FC
FC0045,花蟹蚶,12,0.7955813953,FC
FC0046,沙蟹,12,0.7955813953,FC
FC0047,蟹鉗,12,0.7955813953,FC
FC0048,蟹殼,12,0.7955813953,FC
FC0049,金門蟹,12,0.7955813953,FC
FC0050,鱉,12,1.18,FC
FC0051,龍蝦,12,1.132211825,FC
FD0001,魚肉,12,1.009666667,FD
FD0002,鮭魚,3,1.650119048,FD
FD0003,鯛魚,12,1.308763736,FD
FD0004,鮪魚,12,1.621851852,FD
FD0005,鱈魚,12,0.889245614,FD
FD0006,鱸魚,3,1.185353902,FD
FD0007,白魚,12,1.009666667,FD
FD0008,黃魚,8,1.052620321,FD
FD0009,小黃魚,12,1.009666667,FD
FD0010,紅魚,12,1.009666667,FD
FD0011,銀魚,12,1.139186441,FD
FD0012,柴魚,12,1.009666667,FD
FD0013,吳郭魚,11,1.224655172,FD
FD0014,鯖魚,12,1.858704284,FD
FD0015,虱目魚,12,1.237486809,FD
FD0016,秋刀魚,7,3.14,FD
FD0017,土魠魚,3,0.28,FD
FD0018,白北魚,12,1.009666667,FD
FD0019,香魚,8,1.739130435,FD
FD0020,旗魚,12,1.26984127,FD
FD0021,石斑魚,12,1.208538012,FD
FD0022,鰻魚,12,2.048333333,FD
FD0023,海鰻,12,1.370223881,FD
FD0024,河鰻,12,2.294047619,FD
FD0025,鯽魚,12,1.174531646,FD
FD0026,草魚,12,1.490172414,FD
FD0027,鯧魚,4,0.8432051282,FD
FD0028,刺鯧,5,1.068095238,FD
FD0029,鯉魚,2,1.352691586,FD
FD0030,魴魚,12,1.35,FD
FD0031,鰱魚,12,1.14961267,FD
FD0032,帶魚,12,1,FD
FD0033,吻仔魚,12,1.009666667,FD
FD0034,丁香魚,6,2.133372093,FD
FD0035,沙丁魚,12,1.444836999,FD
FD0036,沙梭魚,12,1.457222222,FD
FD0037,石狗公,12,1.075,FD
FD0038,金線魚,12,1.415714286,FD
FD0039,柳葉魚,3,1.709090909,FD
FD0040,多利魚,12,1.009666667,FD
FD0041,鯷魚,12,2.007395833,FD
FD0042,比目魚,12,1.210584046,FD
FD0043,烏魚,6,0.752559322,FD
FD0044,鱔魚,12,0.89,FD
FD0045,鯊魚,12,1.404564181,FD
FD0046,鰹魚,12,1.009666667,FD
FD0047,油魚,12,1.009666667,FD
FD0048,竹莢魚,12,1.009666667,FD
FD0049,小吉魚,12,1.009666667,FD
FD0050,赤宗魚,12,1.15942029,FD
FD0051,紅尾冬魚,12,1.009666667,FD
FD0052,紅甘魚,12,1.009666667,FD
FD0053,鰤魚,12,1.665,FD
FD0054,馬頭魚,2,1.151880342,FD
FD0055,中華鱘,12,1.376666667,FD
FD0056,鱘龍魚,12,1.009666667,FD
FD0057,四破魚,2,1.009666667,FD
FD0058,目孔魚,12,1.009666667,FD
FD0060,黃鰭鯛,12,1.052631579,FD
FD0061,水針魚,12,1.009666667,FD
FD0062,象魚,12,1.009666667,FD
FD0063,土虱魚,12,1.184545455,FD
FD0064,黑喉,12,1.009666667,FD
FD0065,紅鱸,12,1.17,FD
FD0066,翻車魚,12,1.009666667,FD
FD0067,皮刀魚,6,1.009666667,FD
FD0068,鱒魚,12,1.296428571,FD
FD0070,冰魚,12,1.009666667,FD
FD0071,黑加網,12,1.009666667,FD
FD0072,金眼鯛,12,1.176470588,FD
FD0073,花魚,12,1.009666667,FD
FD0074,燕尾斑,12,1.009666667,FD
FD0075,青鱗魚,12,1.18,FD
FD0076,燕魚,12,1.009666667,FD
FD0077,竹筴魚,12,1.009666667,FD
FD0079,殼魚,12,1.009666667,FD
FD0080,黃雞魚,12,1.009666667,FD
FD0081,青衣魚,12,1.009666667,FD
FD0082,飛刀,12,1.009666667,FD
FD0083,伍仔魚,12,1.009666667,FD
FD0084,鯪魚,12,2.79962963,FD
FD0085,金梭魚,12,1.009666667,FD
FD0086,鬼頭刀,2,1.009666667,FD
FD0087,紅槽魚,12,1.009666667,FD
FD0088,豆仔魚,12,1.009666667,FD
FD0089,鱒鮭,12,1.009666667,FD
FD0090,寶石魚,12,1.009666667,FD
FD0091,龍利魚,12,1.009666667,FD
FD0092,脆皖魚,12,1.009666667,FD
FD0093,海泥鰍,12,1.009666667,FD
FD0094,泥鰍,8,1.09978022,FD
FD0095,劍旗魚,12,1.009666667,FD
FD0096,紅條魚,12,1.009666667,FD
FD0097,三角仔,12,1.009666667,FD
FD0098,蘭勃舵魚,12,1.009666667,FD
FD0099,青嘴魚,4,1.009666667,FD
FD0100,青星九刺鮨,12,1.009666667,FD
FD0101,鰈魚,12,1.04,FD
FD0102,海鱺,6,1.009666667,FD
FD0103,甘仔魚,12,1.009666667,FD
FD0104,飛魚,4,0.9638554217,FD
FD0105,青魚,12,1.34531746,FD
FD0106,紅目鰱,12,2.580645161,FD
FD0107,鯰魚,12,1.26445055,FD
FD0108,馬口魚,12,1,FD
FE0001,魚肚,12,1.009666667,FE
FE0002,魚腸,12,1.009666667,FE
FE0003,魚頭,12,1.009666667,FE
FE0004,魚骨,12,1.009666667,FE
FE0005,魚下巴,12,1.009666667,FE
FE0006,魚尾巴,12,1.009666667,FE
FE0007,魚皮,12,1.009666667,FE
FE0008,明太子,12,3.9,FE
FE0009,魚卵,12,1.735,FE
FE0010,鮭魚卵,12,3.9,FE
FE0011,生魚片,12,1.009666667,FE
FE0012,魚湯,12,1.208888889,FE
FE0013,魚菲力,12,1.009666667,FE
FE0014,松阪魚,12,1.009666667,FE
FE0015,魚柳,12,2.32,FE
FE0016,魚雜,12,1.009666667,FE
FE0017,龍腸,12,1.009666667,FE
FF0001,魚板,12,0.9115217391,FF
FF0002,魚露,12,0.48,FF
FF0003,魚漿,12,0.9115217391,FF
FF0004,章魚花枝漿,12,2.3,FF
FF0005,甜不辣,12,2.01,FF
FF0006,小魚乾,12,4.425,FF
FF0007,魚丸,12,2.3,FF
FF0008,鹹魚,12,1.61,FF
FF0009,魚鬆,12,3,FF
FF0010,魚餃,12,2.73,FF
FF0011,魚蛋,12,0.76,FF
FF0012,一夜干,12,3.03,FF
FF0013,魚乾,12,5.5,FF
FF0014,蟹肉棒,12,1.141666667,FF
FF0015,竹輪,12,1.36,FF
FF0016,黑輪,12,1.745454546,FF
FF0017,鳴戶卷,12,1.745454546,FF
FF0018,沙魚煙,12,1.745454546,FF
FF0019,柴魚粉,12,3.678181818,FF
FF0020,魚高湯,12,0.5394190871,FF
FF0021,烏魚子,12,3.630263158,FF
FF0022,鱈寶,12,0.52,FF
FF0023,魚翅,12,3.37,FF
FF0024,魚餅,12,2.17,FF
FF0025,魚酥,12,5.8,FF
FF0026,醃魚,12,7.5,FF
FF0027,魚油,12,7,FF
FF0028,魚粉,12,2.28,FF
FF0029,魷魚絲,12,3.190488506,FF
FF0030,魚唇,12,1.009666667,FF
FF0031,魚滑,12,1.009666667,FF
FF0032,魚醬,12,2.69,FF
GA0001,小黃瓜,12,0.1536676983,GA
GA0002,黃瓜,3,0.1461681796,GA
GA0003,黃瓜皮,12,0.1461681796,GA
GA0004,絲瓜,5,0.2565943319,GA
GA0005,稜角絲瓜,12,0.18,GA
GA0007,冬瓜皮,12,0.13,GA
GA0009,苦瓜,5,0.5965587496,GA
GA0010,南瓜,7,0.35,GA
GA0012,日本南瓜,12,0.35,GA
GA0013,菊花南瓜,12,0.35,GA
GA0014,西葫蘆,12,0.2122859589,GA
GA0015,葫蘆,12,0.1868199234,GA
GA0016,瓠瓜,12,0.1827777778,GA
GA0017,節瓜,12,0.132,GA
GA0018,越瓜,8,0.18,GA
GA0019,筍瓜,12,0.32,GA
GA0020,佛手瓜,8,0.20375,GA
GA0021,酪梨,4,0.544973545,GA
GA0022,蛇瓜,12,0.1633333333,GA
GA0023,青木瓜,12,0.27,GA
GA0024,碟瓜,12,0.13,GA
GA0025,番茄,4,0.1656869184,GA
GA0026,秋葵,5,0.4,GA
GA0027,茄子,3,0.5488276942,GA
GA0028,水茄,12,0.5488276942,GA
GA0029,泰式小圓茄,12,0.7656869184,GA
GA0030,人參果,6,0.6464247517,GA
GA0031,番椒,8,0.93,GA
GA0032,青龍辣椒,12,1,GA
GA0033,青椒,12,0.8481598459,GA
GA0034,甜椒,4,0.8481598459,GA
GA0035,角椒,12,0.93,GA
GA0036,米椒,12,0.93,GA
GA0037,翡翠椒,12,0.93,GA
GB0001,水果,12,0.93,GB
GB0002,芒果,4,0.5879631282,GB
GB0003,芭樂,12,0.398354059,GB
GB0004,梨子,7,0.5833613273,GB
GB0005,紅梨,12,0.5833613273,GB
GB0006,鴨梨,12,0.4622086721,GB
GB0007,柿子,4,0.7184494642,GB
GB0008,柚子,7,0.397497528,GB
GB0009,香柚皮,12,0.397497528,GB
GB0010,葡萄,10,0.5736852362,GB
GB0011,無子葡萄,12,0.5736852362,GB
GB0012,葡萄柚,8,0.3373372953,GB
GB0013,香蕉,12,0.9487080296,GB
GB0014,西瓜,8,0.5187375964,GB
GB0015,木瓜,12,0.27,GB
GB0016,香瓜,12,0.3184668971,GB
GB0017,哈密瓜,3,0.3139481535,GB
GB0018,桃子,3,0.48,GB
GB0019,甜桃,12,0.48,GB
GB0020,脆桃,12,0.48,GB
GB0021,黃桃,12,0.555,GB
GB0022,李子,6,0.3621897754,GB
GB0023,加州李,12,0.3621897754,GB
GB0024,小番茄,4,0.1342932099,GB
GB0025,蘋果,4,0.4858080808,GB
