,V2.y,V1.y,V1,V2.x
669,澱粉,J,脆漿粉,47
670,牛肉,A,牛骨,47
671,其他肉類,E,鴨肉,47
672,海鮮類,F,蜆,47
673,海鮮類,F,草魚,47
674,雞肉,C,雞胗,46
675,蔬菜類,G,番石榴,46
676,海鮮類,F,秋刀魚,46
677,海菜菇蕈中藥,I,熟地,46
678,蔬菜類,G,大頭菜,46
679,其他,L,燻雞,46
680,調味料,K,焦糖,45
681,調味料,K,薤,45
682,海菜菇蕈中藥,I,洋菜,45
683,澱粉,J,意麵,45
684,調味料,K,紅糟醬,45
685,蔬菜類,G,莧菜,45
686,蛋_豆_奶_豆製品類,H,胚芽,45
687,海鮮類,F,鯧魚,45
688,雞肉,C,雞肉絲,45
689,蔬菜類,G,冬菜,44
690,海鮮類,F,香魚,44
691,蔬菜類,G,甘蔗,44
692,調味料,K,乳瑪琳,44
693,調味料,K,千島醬,44
694,海菜菇蕈中藥,I,淮山,44
695,海鮮類,F,魚皮,43
696,蔬菜類,G,A菜,43
697,蔬菜類,G,福菜,43
698,蛋_豆_奶_豆製品類,H,開心果,43
699,其他,L,剉冰,43
700,其他肉類,E,螺肉,43
701,豬肉,B,豬肉條,43
702,調味料,K,海山醬,42
703,其他,L,滷蛋,42
704,澱粉,J,湯種,42
705,海菜菇蕈中藥,I,竹笙,42
706,蛋_豆_奶_豆製品類,H,夏威夷豆,42
707,海鮮類,F,蟳,42
708,其他,L,炒飯,42
709,其他,L,炒飯,42
710,調味料,K,焦糖醬,41
711,蔬菜類,G,椰子,41
712,海鮮類,F,竹輪,41
713,蛋_豆_奶_豆製品類,H,凍豆腐,41
714,其他,L,康寶濃湯,41
715,牛肉,A,牛筋,41
716,蛋_豆_奶_豆製品類,H,奶精,41
717,豬肉,B,豬大腸頭,41
718,其他,L,漢堡,40
719,蔬菜類,G,龍鬚菜,40
720,澱粉,J,雞蛋麵,40
721,蔬菜類,G,莓果,40
722,蔬菜類,G,桂竹筍,40
723,調味料,K,壽喜燒醬,40
724,蛋_豆_奶_豆製品類,H,豆花,40
725,海鮮類,F,烏魚子,39
726,蔬菜類,G,杏桃,39
727,蔬菜類,G,大陸妹,39
728,牛肉,A,牛五花肉,39
729,澱粉,J,蕎麥,39
730,蔬菜類,G,娃娃菜,39
731,豬肉,B,豬腱子肉,38
732,海鮮類,F,土魠魚,38
733,海鮮類,F,魚肚,38
734,調味料,K,甘草粉,37
735,其他,L,三明治,37
736,其他,L,蘋果汁,37
737,蔬菜類,G,麻竹筍,37
738,蛋_豆_奶_豆製品類,H,米豆,37
739,其他,L,鹹豬肉,37
740,牛肉,A,牛肚,37
741,澱粉,J,蘇打餅,36
742,海鮮類,F,扇貝,36
743,雞肉,C,雞油,36
744,調味料,K,黃薑粉,36
745,調味料,K,凱薩醬,36
746,蔬菜類,G,荔枝,36
747,海鮮類,F,蝦卵,36
748,其他,L,泡菜汁,36
749,蔬菜類,G,青蘋果,36
750,其他,L,鳳梨汁,36
751,海菜菇蕈中藥,I,藥燉包,35
752,其他,L,蝦餃,35
753,海菜菇蕈中藥,I,黨參,35
754,海菜菇蕈中藥,I,黨參,35
755,調味料,K,清湯,34
756,澱粉,J,粿,34
757,調味料,K,威士忌,34
758,其他,L,牛肉湯,34
759,其他肉類,E,鴨腿,34
760,蔬菜類,G,脆梅,34
761,其他,L,熟蛋,34
762,豬肉,B,豬血,34
763,調味料,K,五味醬,33
764,豬肉,B,肝腸,33
765,海鮮類,F,鮭魚卵,33
766,調味料,K,出汁,33
767,雞肉,C,雞心,33
768,澱粉,J,高梁,33
769,海鮮類,F,魚鬆,33
770,蔬菜類,G,棗子,33
771,調味料,K,菊花,32
772,蔬菜類,G,荷蘭豆,32
773,調味料,K,桂花醬,32
774,調味料,K,調味粉包,32
775,其他,L,檸檬酸,32
776,蔬菜類,G,菱角,32
777,調味料,K,胡麻醬,32
778,調味料,K,蝦夷蔥,32
779,其他,L,脆瓜,32
780,調味料,K,桔醬,32
781,其他,L,鴨賞,31
782,蛋_豆_奶_豆製品類,H,奶酥,31
783,澱粉,J,秈米,31
784,其他,L,百香果汁,31
785,其他,L,關東煮,31
786,調味料,K,蒔蘿,31
787,牛肉,A,腓力牛排,31
788,調味料,K,濃湯粉,31
789,調味料,K,鹽水,31
790,其他,L,肉羹,30
791,海鮮類,F,多利魚,30
792,海鮮類,F,多利魚,30
793,豬肉,B,腰子,30
794,調味料,K,發酵粉,30
795,其他,L,綠豆沙,30
796,豬肉,B,肥豬肉,30
797,調味料,K,寒天粉,30
798,調味料,K,脆酥粉,30
799,海鮮類,F,一夜干,30
800,蔬菜類,G,莓果乾,30
801,雞肉,C,雞絞肉,30
802,其他,L,滷味,29
803,其他,L,雜糧,29
804,豬肉,B,豬耳朵,29
805,其他,L,番茄汁,29
806,其他,L,雞塊,29
807,海鮮類,F,鯊魚,29
808,其他,L,戚風蛋糕,29
809,海鮮類,F,柳葉魚,29
810,蛋_豆_奶_豆製品類,H,鴨蛋,29
811,澱粉,J,披薩皮,28
812,其他肉類,E,田雞,28
813,調味料,K,三杯醬,28
814,蛋_豆_奶_豆製品類,H,亞麻籽,28
815,其他,L,醃肉,28
816,蔬菜類,G,芥藍菜,28
817,澱粉,J,藜麥,28
818,其他肉類,E,鴨頭,28
819,調味料,K,莎莎醬,28
820,蔬菜類,G,箭竹筍,27
821,其他,L,車輪餅,27
822,其他,L,車輪餅,27
823,其他,L,香精,27
824,豬肉,B,子排,27
825,其他,L,雞排,27
826,蔬菜類,G,鹹菜,27
827,蔬菜類,G,蘆薈,27
828,海鮮類,F,鹹魚,26
829,調味料,K,蛋黃醬,26
830,海鮮類,F,魚翅,26
831,蔬菜類,G,花豆,26
832,蛋_豆_奶_豆製品類,H,花豆,26
833,海菜菇蕈中藥,I,猴頭菇,26
834,海鮮類,F,蟹黃,26
835,調味料,K,酒糖液,26
836,澱粉,J,巧克力餅乾,26
837,澱粉,J,黑糯米,26
838,調味料,K,鼠尾草,26
839,其他,L,可麗餅,26
840,蛋_豆_奶_豆製品類,H,豆輪,25
841,其他,L,滷肉,25
842,蔬菜類,G,米椒,25
843,蛋_豆_奶_豆製品類,H,可可豆,25
844,其他,L,果粒,25
845,調味料,K,蒜花,25
846,其他,L,椰子汁,25
847,調味料,K,七葉蘭,24
848,澱粉,J,韓國年糕,24
849,海菜菇蕈中藥,I,髮菜,24
850,海鮮類,F,海蝦,24
851,其他,L,軟糖,24
852,調味料,K,素沙茶醬,24
853,調味料,K,豉油,24
854,澱粉,J,蔬菜麵,24
855,其他,L,寒天,24
856,調味料,K,TABASCO,24
857,海菜菇蕈中藥,I,珊瑚菇,24
858,調味料,K,丁香粉,23
859,蔬菜類,G,豆薯,23
860,海菜菇蕈中藥,I,銀耳,23
861,調味料,K,香草醬,23
862,蛋_豆_奶_豆製品類,H,南瓜籽,23
863,澱粉,J,法國麵粉,23
864,調味料,K,乾蔥頭,23
865,其他,L,大骨湯,23
866,調味料,K,蛋白粉,23
867,豬肉,B,豬蹄筋,23
868,蔬菜類,G,過溝菜,23
869,蔬菜類,G,菜心,23
870,蛋_豆_奶_豆製品類,H,咖啡豆,23
871,其他,L,咖啡豆,23
872,海鮮類,F,魴魚,23
873,蛋_豆_奶_豆製品類,H,白扁豆,23
874,其他,L,泡芙,22
875,其他,L,濃湯塊,22
876,其他,L,大理石片,22
877,豬肉,B,肉丸,22
878,其他,L,拌飯粉,22
879,海鮮類,F,油魚,22
880,海鮮類,F,魚蛋,22
881,雞肉,C,放山雞,22
882,海鮮類,F,蝦泥,22
883,其他,L,蘇梅汁,22
884,蛋_豆_奶_豆製品類,H,無花果,22
885,調味料,K,鬱金香,22
886,澱粉,J,脆片,22
887,海鮮類,F,海蜇皮,22
888,牛肉,A,牛脂,22
889,蛋_豆_奶_豆製品類,H,綜合豆,22
890,蛋_豆_奶_豆製品類,H,奇亞籽,22
891,雞肉,C,春雞,22
892,澱粉,J,粉皮,21
893,調味料,K,蒜蓉醬,21
894,蛋_豆_奶_豆製品類,H,奶球,21
895,蔬菜類,G,水菜,21
896,豬肉,B,白表,21
897,蛋_豆_奶_豆製品類,H,素雞,21
898,其他,L,原味燒餅,21
899,調味料,K,貝禮詩奶酒,21
900,蔬菜類,G,油菜,21
901,蔬菜類,G,柿子,21
902,澱粉,J,米苔目,21
903,其他肉類,E,鵝油,21
904,澱粉,J,芋圓,21
905,蔬菜類,G,楊桃,21
906,豬肉,B,豬尾巴,21
907,其他,L,醃料包,21
908,調味料,K,麵衣,20
909,其他,L,泰式酸辣湯塊,20
910,澱粉,J,中東麵餅,20
911,其他,L,芒果汁,20
912,蛋_豆_奶_豆製品類,H,素香鬆,20
913,蔬菜類,G,柑桔,20
914,海鮮類,F,魚湯,20
915,其他,L,萊姆汁,20
916,海菜菇蕈中藥,I,羅漢果,20
917,其他,L,控肉,20
918,調味料,K,馬蹄粉,20
919,海菜菇蕈中藥,I,茵蔯蒿,20
920,海鮮類,F,烏魚,20
921,澱粉,J,西米露,20
922,其他肉類,E,火雞肉,20
923,調味料,K,綠橄欖,20
924,澱粉,J,寧波年糕,20
925,澱粉,J,紅糯米,19
926,其他,L,洋芋片,19
927,蔬菜類,G,蓮霧,19
928,其他,L,愛玉,19
929,調味料,K,義大利甜醋,19
930,調味料,K,A1醬,19
931,調味料,K,蒜味醬,19
932,海菜菇蕈中藥,I,甘露子,19
933,海菜菇蕈中藥,I,玉竹,19
934,海鮮類,F,鯽魚,19
935,蔬菜類,G,水蓮菜,19
936,海鮮類,F,黑輪,19
937,其他,L,黃色色素,18
938,海鮮類,F,生魚片,18
939,蔬菜類,G,山蘇菜,18
940,調味料,K,片糖,18
941,蔬菜類,G,稜角絲瓜,18
942,調味料,K,海鮮醬,18
943,蔬菜類,G,苜宿芽,18
944,蔬菜類,G,美人心,18
945,其他,L,乾果,18
946,其他,L,冬瓜茶,18
947,澱粉,J,烤麩,18
948,海鮮類,F,魚醬,18
949,蛋_豆_奶_豆製品類,H,亞麻子,18
950,海鮮類,F,魚下巴,18
951,海鮮類,F,帶魚,18
952,海鮮類,F,鰱魚,18
953,其他,L,鬆餅,18
954,牛肉,A,牛肝,18
955,其他,L,椰絲,18
956,調味料,K,葡萄醋,18
957,其他,L,豬皮凍,17
958,雞肉,C,雞肝,17
959,海鮮類,F,魚頭,17
960,蛋_豆_奶_豆製品類,H,蛋絲,17
961,蔬菜類,G,紫萵苣,17
962,其他,L,天婦羅,17
963,豬肉,B,豬心,17
964,調味料,K,沙嗲醬,17
965,其他,L,烤雞,17
966,調味料,K,玫瑰露,17
967,調味料,K,酵素,17
968,其他,L,香筍,17
969,其他,L,葡萄柚汁,17
970,調味料,K,氣泡酒,17
971,調味料,K,烹大師堅魚風味,17
972,蔬菜類,G,棗泥,17
973,其他,L,山楂,17
974,其他,L,茶汁,16
975,調味料,K,綿白糖,16
976,海鮮類,F,帝王蟹,16
977,蛋_豆_奶_豆製品類,H,瑞可達起司,16
978,其他肉類,E,鵝肉,16
979,調味料,K,和風碳烤粉,16
980,蛋_豆_奶_豆製品類,H,蓮茸,16
981,豬肉,B,嘴邊肉,16
982,蔬菜類,G,李子,16
983,調味料,K,伏特加,16
984,海鮮類,F,魷魚絲,16
985,蔬菜類,G,桔皮,16
986,海菜菇蕈中藥,I,海珊瑚,16
987,調味料,K,梅醋,16
988,調味料,K,塔塔醬,16
989,蔬菜類,G,芥菜,16
990,海菜菇蕈中藥,I,菌菇,16
991,調味料,K,印度香料,16
992,調味料,K,酸辣湯塊,16
993,其他,L,酸辣湯塊,16
994,澱粉,J,土司邊,16
995,其他,L,肉排,16
996,其他,L,醃漬梅,15
997,其他,L,紅豆湯,15
998,海鮮類,F,三點蟹,15
999,其他,L,飯團,15
1000,海菜菇蕈中藥,I,杜仲,15
1001,海菜菇蕈中藥,I,當歸,15
1002,其他,L,排骨湯塊,15
1003,蛋_豆_奶_豆製品類,H,干絲,15
1004,蔬菜類,G,紅鳳菜,15
1005,其他,L,膳纖熟飯,15
1006,蔬菜類,G,甜桃,15
1007,調味料,K,黑醬,15
1008,其他,L,大亨堡,15
1009,海菜菇蕈中藥,I,茯苓,15
1010,澱粉,J,餐包,15
1011,牛肉,A,牛雜,15
1012,蛋_豆_奶_豆製品類,H,香草籽,15
1013,蔬菜類,G,芒果乾,14
1014,調味料,K,蘿蔔葉,14
1015,雞肉,C,雞蓉,14
1016,其他,L,柿餅,14
1017,海鮮類,F,海鱺,14
1018,調味料,K,蔗糖,14
1019,澱粉,J,刀削麵,14
1020,澱粉,J,胚芽米,14
1021,調味料,K,櫻花,14
1022,調味料,K,櫻花,14
1023,其他,L,杏仁露,14
1024,蔬菜類,G,烏梅,14
1025,澱粉,J,麥芽精,14
1026,海菜菇蕈中藥,I,九尾草,14
1027,澱粉,J,寬冬粉,14
1028,豬肉,B,豬小腸,14
1029,調味料,K,蝦油,14
1030,其他,L,飲氧品,14
1031,其他,L,燒鴨,14
1032,其他,L,綜合丸,14
1033,其他,L,包子,14
1034,調味料,K,肉汁,14
1035,蔬菜類,G,佛手瓜,14
1036,蔬菜類,G,綠捲鬚,14
1037,其他,L,果凍,14
1038,海鮮類,F,鱔魚,14
1039,澱粉,J,葛粉,14
1040,調味料,K,雞醬,14
1041,牛肉,A,牛里肌,14
1042,其他,L,厚蛋燒,14
1043,其他,L,花瓣,14
1044,其他,L,滷牛腱,14
1045,其他,L,酸辣湯包,14
1046,調味料,K,馬告,13
1047,海菜菇蕈中藥,I,四物藥包,13
1048,蔬菜類,G,藍苺,13
1049,其他,L,石榴汁,13
1050,海鮮類,F,伍仔魚,13
1051,其他,L,糖花,13
1052,調味料,K,墨魚醬,13
1053,豬肉,B,豬舌,13
1054,澱粉,J,雞絲麵,13
1055,澱粉,J,雞絲麵,13
1056,海菜菇蕈中藥,I,何首烏,13
1057,蔬菜類,G,紅醋栗,13
1058,海鮮類,F,魚骨,13
1059,蛋_豆_奶_豆製品類,H,羅勒子,13
1060,蔬菜類,G,甜豌豆,13
1061,蔬菜類,G,香瓜,13
1062,調味料,K,魚子醬,13
1063,調味料,K,酸甜醬,13
1064,澱粉,J,韓式煎餅粉,13
1065,蔬菜類,G,醋栗,13
1066,蛋_豆_奶_豆製品類,H,芡實,13
1067,其他,L,阿摩尼亞,13
1068,澱粉,J,地瓜圓,13
1069,其他,L,燒肉,13
1070,其他,L,可頌,12
1071,其他,L,鵝肝醬,12
1072,豬肉,B,龍骨,12
1073,豬肉,B,洋火腿,12
1074,海鮮類,F,鯉魚,12
1075,其他肉類,E,鴨肉條,12
1076,其他,L,薯條,12
1077,蔬菜類,G,芽菜,12
1078,其他,L,胡蘿蔔汁,12
1079,海菜菇蕈中藥,I,牛肝菌,12
1080,蔬菜類,G,深綠色蔬菜,12
1081,澱粉,J,鍋粑,12
1082,澱粉,J,夾心餅乾,12
1083,蛋_豆_奶_豆製品類,H,羊起司,12
1084,牛肉,A,牛尾,12
1085,澱粉,J,麵疙瘩,12
1086,其他,L,雞酒,12
1087,調味料,K,西式香料,12
1088,調味料,K,宮保醬,12
1089,調味料,K,大阪燒醬汁,12
1090,其他,L,抓餅,12
1091,調味料,K,龍舌蘭蜜,12
1092,牛肉,A,牛後腿肉,12
1093,其他肉類,E,鴨翅膀,12
1094,調味料,K,發糕粉,12
1095,澱粉,J,素麵,12
1096,澱粉,J,黑麥,12
1097,其他,L,蛤蜊湯塊,12
1098,海菜菇蕈中藥,I,綠藻,12
1099,羊,D,羊腩,12
1100,澱粉,J,米紙,12
1101,調味料,K,蛋黃粉,12
1102,海鮮類,F,大閘蟹,12
1103,其他,L,薯餅,12
1104,調味料,K,香辣粉,12
1105,其他,L,豆子,11
1106,海鮮類,F,車蝦,11
1107,其他肉類,E,田螺,11
1108,其他肉類,E,鴨腸,11
1109,調味料,K,打拋醬,11
1110,調味料,K,金銀花,11
1111,海鮮類,F,魷魚乾,11
1112,澱粉,J,紫糯米,11
1113,調味料,K,嫩肉粉,11
1114,調味料,K,蜜漬橙皮丁,11
1115,調味料,K,豆花粉,11
1116,牛肉,A,肋眼牛排,11
1117,其他,L,脆迪酥,11
1118,澱粉,J,胚芽米飯,11
1119,牛肉,A,牛心,11
1120,海鮮類,F,魷魚嘴,11
1121,其他,L,金桔汁,11
1122,調味料,K,韭蔥,11
1123,調味料,K,芡水,11
1124,蛋_豆_奶_豆製品類,H,皮絲,11
1125,海菜菇蕈中藥,I,仙楂,11
1126,調味料,K,竹炭粉,11
1127,調味料,K,蒸肉粉,11
1128,其他,L,Q梅,11
1129,牛肉,A,牛肩肉,11
1130,其他,L,四神湯,11
1131,調味料,K,椰子粉,11
1132,調味料,K,紅醋,11
1133,澱粉,J,珍珠米,11
1134,海鮮類,F,蝦殼,10
1135,豬肉,B,胛心排,10
1136,其他肉類,E,象牙鳳螺,10
1137,蔬菜類,G,香菜根,10
1138,調味料,K,串燒醬,10
1139,蔬菜類,G,青龍辣椒,10
1140,海鮮類,F,蝦頭,10
1141,其他,L,白斬雞,10
1142,其他,L,牛奶糖,10
1143,海菜菇蕈中藥,I,巴西蘑菇,10
1144,調味料,K,柱侯醬,10
1145,澱粉,J,潤餅皮,10
1146,海菜菇蕈中藥,I,天山華翠菇,10
1147,其他,L,蜜之果,10
1148,蛋_豆_奶_豆製品類,H,酪漿,10
1149,其他,L,大豆卵磷脂,10
1150,海鮮類,F,海膽,10
1151,調味料,K,味增醬,10
1152,澱粉,J,發芽米,10
1153,蔬菜類,G,芝麻菜,10
1154,其他肉類,E,鴨胗,10
1155,蛋_豆_奶_豆製品類,H,納豆,10
1156,調味料,K,琴酒,10
1157,豬肉,B,豬腸,10
1158,其他,L,乾瓢,10
1159,調味料,K,雞汁,10
1160,牛肉,A,雪花牛肉,10
1161,蛋_豆_奶_豆製品類,H,奶泡,10
1162,其他,L,玉子燒,10
1163,調味料,K,百草粉,10
1164,蛋_豆_奶_豆製品類,H,蘭花干,10
1165,澱粉,J,米線,10
1166,其他,L,彩色糖珠,10
1167,海鮮類,F,翻車魚,10
1168,澱粉,J,雞蛋糕粉,10
1169,調味料,K,滷水,10
1170,蔬菜類,G,落葵,10
1171,其他,L,橘子汁,10
1172,海鮮類,F,蝦丸,10
1173,澱粉,J,糯米紙,9
1174,其他,L,綠豆粉,9
1175,其他,L,金粉,9
1176,其他,L,針菇罐頭,9
1177,海鮮類,F,鬼頭刀,9
1178,蔬菜類,G,半天筍,9
1179,海鮮類,F,紅魚,9
1180,蛋_豆_奶_豆製品類,H,愛玉子,9
1181,蛋_豆_奶_豆製品類,H,素肚,9
1182,蛋_豆_奶_豆製品類,H,紅扁豆,9
1183,其他,L,拌飯料,9
1184,其他,L,羊肉爐,9
1185,調味料,K,白蒜,9
1186,豬肉,B,起司腸,9
1187,調味料,K,紅露酒,9
1188,蛋_豆_奶_豆製品類,H,決明子,9
1189,海菜菇蕈中藥,I,珍珠菇,9
1190,牛肉,A,紐約克牛排,9
1191,其他,L,桔餅,9
1192,蔬菜類,G,情人果,9
1193,蔬菜類,G,西葫蘆,9
1194,蔬菜類,G,石蓮花,9
1195,其他,L,酸豆角,9
1196,海鮮類,F,馬頭魚,9
1197,海菜菇蕈中藥,I,白雪菇,9
1198,其他,L,紅燒湯底,9
1199,其他,L,抹茶餡,9
1200,海鮮類,F,軟殼蟹,9
1201,調味料,K,胡蘿蔔花,9
1202,調味料,K,辣椒水,9
1203,調味料,K,氣泡水,9
1204,蛋_豆_奶_豆製品類,H,保久乳,9
1205,其他,L,炸魚,9
1206,其他,L,八寶粥,9
1207,澱粉,J,紅麴米,9
1208,海鮮類,F,白魚,9
1209,其他,L,腸衣,9
1210,海鮮類,F,魚酥,9
1211,海鮮類,F,刺鯧,9
1212,海菜菇蕈中藥,I,松茸菇,9
1213,蔬菜類,G,土芹菜,9
1214,其他,L,茉莉,9
1215,澱粉,J,薏米,9
1216,澱粉,J,新竹米粉,9
1217,蔬菜類,G,苦苣,9
1218,蔬菜類,G,茶梅,9
1219,蔬菜類,G,水果罐頭,9
1220,海鮮類,F,銀魚,9
1221,海鮮類,F,魚粉,9
1222,海菜菇蕈中藥,I,花旗蔘,9
1223,其他,L,茶葉蛋,9
1224,其他,L,千層派,8
1225,雞肉,C,雞腸,8
1226,調味料,K,粉漿,8
1227,海鮮類,F,蝦漿,8
1228,其他,L,柚子茶,8
1229,其他肉類,E,鴨腳,8
1230,蔬菜類,G,鵲豆,8
1231,其他,L,煎餅,8
1232,海鮮類,F,竹莢魚,8
1233,其他肉類,E,鵝胸肉,8
1234,其他,L,剩菜,8
1235,澱粉,J,古斯米,8
1236,其他肉類,E,鴨舌頭,8
1237,其他,L,刈包,8
1238,調味料,K,魚香醬,8
1239,其他,L,銀粉,8
1240,調味料,K,辣拌醬,8
1241,其他,L,蔬果粉,8
1242,其他,L,食用鹼,8
1243,蔬菜類,G,日本南瓜,8
1244,其他,L,椰果,8
1245,其他,L,烤鴨片,8
1246,海菜菇蕈中藥,I,靈芝,8
1247,海菜菇蕈中藥,I,靈芝,8
1248,其他,L,花生糖,8
1249,澱粉,J,彩米,8
1250,蔬菜類,G,打拋葉,8
1251,其他,L,章魚燒,8
1252,海菜菇蕈中藥,I,紅藻,8
1253,其他,L,沙拉米,8
1254,其他,L,沙拉米,8
1255,其他,L,桂花釀茶包,8
1256,其他,L,棉花糖,8
1257,牛肉,A,牛肉丸子,8
1258,海鮮類,F,冰魚,8
1259,澱粉,J,燒賣皮,8
1260,雞肉,C,半雞,8
1261,其他,L,滷元蹄,8
1262,其他,L,醬料包,8
1263,其他,L,藥燉排骨湯,8
1264,蔬菜類,G,青花椰苗,8
1265,雞肉,C,雞皮,8
1266,澱粉,J,米漿,8
1267,調味料,K,BB醬,8
1268,海鮮類,F,竹筴魚,8
1269,調味料,K,墨西哥香料,8
1270,其他,L,水晶餃,8
1271,其他,L,甘蔗汁,8
1272,其他,L,葡萄汁,8
1273,澱粉,J,庫司庫司,8
1274,海菜菇蕈中藥,I,十全藥包,8
1275,澱粉,J,元宵,8
1276,澱粉,J,紅薏仁,8
1277,豬肉,B,午餐肉,8
1278,調味料,K,杭菊,8
1279,蔬菜類,G,貝芽菜,8
1280,蛋_豆_奶_豆製品類,H,千張,7
1281,其他,L,冰梅,7
1282,蛋_豆_奶_豆製品類,H,豆棗,7
1283,海鮮類,F,溪蝦,7
1284,其他,L,蛋餅,7
1285,澱粉,J,科學麵,7
1286,海鮮類,F,紅目鰱,7
1287,調味料,K,黑豆瓣醬,7
1288,調味料,K,蘇打水,7
1289,調味料,K,燒酒,7
1290,海菜菇蕈中藥,I,茅根,7
1291,澱粉,J,穀粉,7
1292,其他,L,炒蛋,7
1293,澱粉,J,大麥仁,7
1294,調味料,K,桑葉,7
1295,其他,L,桑葉,7
1296,其他,L,蔬菜粉,7
1297,蔬菜類,G,龍葵,7
1298,蔬菜類,G,榴槤,7
1299,海菜菇蕈中藥,I,冬蟲夏草,7
1300,調味料,K,客家豆醬,7
1301,其他,L,烤肉片,7
1302,海鮮類,F,熟蝦,7
1303,蔬菜類,G,紅腰豆,7
1304,蛋_豆_奶_豆製品類,H,紅腰豆,7
1305,調味料,K,油包,7
1306,海菜菇蕈中藥,I,珠貝,7
1307,海菜菇蕈中藥,I,白芍,7
1308,牛肉,A,牛舌,7
1309,海鮮類,F,魚乾,7
1310,澱粉,J,米果,7
1311,蔬菜類,G,加州李,7
1312,其他,L,鮮美鍋汁,7
1313,澱粉,J,小薏仁,7
1314,調味料,K,蜜汁醬,7
1315,蔬菜類,G,日本油菜,7
1316,海菜菇蕈中藥,I,烏蔘,7
1317,調味料,K,豆酥醬,7
1318,蔬菜類,G,豆瓣菜,7
1319,其他,L,班尼迪克蛋,7
1320,蔬菜類,G,萊豆,7
1321,其他肉類,E,鵝肝,7
1322,調味料,K,杏桃醬,7
1323,調味料,K,肝醬,7
1324,牛肉,A,肩胛小排,7
1325,調味料,K,蝦粉,7
1326,其他,L,米香,7
1327,調味料,K,油蔥萬用醬,6
1328,其他,L,雞米花,6
1329,其他,L,美味濃湯,6
1330,蔬菜類,G,班蘭葉,6
1331,海菜菇蕈中藥,I,鈕扣菇,6
1332,豬肉,B,豬肉塊,6
1333,調味料,K,餅乾粉,6
1334,蛋_豆_奶_豆製品類,H,鴿蛋,6
1335,其他,L,茄汁炒飯,6
1336,其他,L,肉塊,6
1337,澱粉,J,圓餅,6
1338,調味料,K,方糖,6
1339,其他,L,蝦湯,6
1340,海鮮類,F,魚柳,6
1341,調味料,K,玉米油,6
1342,海菜菇蕈中藥,I,金茸,6
1343,調味料,K,香蕉葉,6
1344,蛋_豆_奶_豆製品類,H,配方奶,6
1345,其他,L,泡菜鍋,6
1346,其他,L,銅鑼燒,6
1347,其他,L,燻肉,6
1348,其他,L,雞卷,6
1349,調味料,K,蕺菜,6
1350,海菜菇蕈中藥,I,香菇頭,6
1351,調味料,K,鹽焗雞香料粉,6
1352,海菜菇蕈中藥,I,川七,6
1353,海鮮類,F,紅甘魚,6
1354,調味料,K,奶香粉,6
1355,調味料,K,甘梅,6
1356,其他,L,豚骨湯塊,6
1357,調味料,K,天婦羅沾醬,6
