食材名稱,同義詞
豬後腿肉,赤肉
紅蔥頭,紅蔥頭末
雞腿肉,雞腿塊
芭樂,泰國芭樂
筊白筍,茭白
辣椒,辣淑
左手香,過手香
泡芙,大泡芙
波士頓萵苣,波士頓奶油生菜
鴨舌頭,鴨舌
醬菜,京都醬菜
修飾澱粉,修飾澱粉
咖哩,咖哩塊
麻薏,麻薏
大白菜,煙台白菜
葛粉,葛切
酸豆,亞森果
東方美人茶,冰風茶
燒雞,燒雞
紅花,紅花
鳳柳汁,波蜜鳳柳汁
低筋麵粉,低筋餅粉
味精,柴魚味精
柱侯醬,桂侯醬
麻糬,麻薯
花豆,花豆
青紫蘇調味醬,青紫蘇調味醬
味噌,辣味噌
培根,pancetta
田雞,牛娃
番薯,去皮的紫薯
冰皮粉,冰皮粉
蘿蔓萵苣,美國羅蔓心
普羅旺斯燉菜,普羅旺斯燉菜
砂糖,沙糖
蝦餅,印尼蝦餅
干貝,貝柱
粥,麋
寒天,寒天凍
枝仔冰,一口枝仔冰
乾蔥頭,乾蔥碎
火鍋粉,石頭火鍋粉
素肉,素肉粒
橙皮,橘子皮
醬油,龜甲萬料亭和露
奇亞籽,奇蹟種籽
棒棒腿,棒棒雞
海蝦,赤蝦
饅頭,饅頭
板豆腐,老豆腐
食鹽,低納鹽
糯米紙,糯米紙
哈密瓜,貢瓜
義大利香料,義大利香料
道明寺粉,道明寺粉
愛玉,愛玉棟
白鳳菜,白紅菜
五彩蒸糕,五彩蒸糕
蜜餞,蜜餞果
泡芙,小泡芙
義大利餃,義大利餃
豆腐乳,腐乳
鴨,鴨
銀杏,銀杏
香菜,元荽
可頌,可頌
鴿肉,鴿
罐頭朝鮮薊,罐頭朝鮮薊
茉莉,茉莉
糟滷,糟滷
黃芥末醬,黃芥末
蒜,蒜片
春捲醬,泰式春捲醬
花椒,秦椒
雞腸,雞腸
山蘇菜,山蘇
雞腳,雞腳
雞睪丸,雞腰
褐醬,褐醬
素豆腸,素豆腸丁
鵪鶉蛋,鵪鶉蛋
蘿蔓萵苣,蘿美
三絲丸,三絲丸
米酒,米酒
落葵,軟姜仔
起司,巴馬乾酪
蛋白粉,義大利袋白霜粉
柑桔,柑
花生,炸花生
黃豆,大豆
肉丸,豬肉丸
檸檬,檬檸
豬肉丁,豬肉丁
落葵,蠶菜
豚骨湯塊,豚骨湯塊
水果,鮮果
柑曼怡,GrandMarnier
味噌,仙台味噌
紫萵苣,紅生菜
泡菜鍋,泡菜鍋
咖哩,GaramMasala
天麻,赤箭
辣椒醬,麻辣鍋醬
蘿蔔糕,蘿蔔糕
香菜,芫西
寶石魚,寶石斑魚
扇貝,海扇
馬祖老酒,馬祖老酒
梨子,水梨果肉
塘虱?,塘虱
水煮蛋,水煮蛋
珍珠菇,黃金滑菇
白乳酪,白奶酪
荸薺,馬蹄末
鬼頭刀,鬼頭刀魚清肉
食鹽,鹽
螺璇藻,螺璇藻
冰塊,冰 塊
醬汁,醬料
奶油,牛油溶液
春捲醬,春捲醬
瑪斯卡彭起司,Mascarpone Cheese
雞蓉,雞胸肉末
義大利麵,千層麵
美味濃湯,美味濃湯
白蔭油,大同白陰油
蔥,蔥絲
起司,切絲起司
海膽醬,海膽醬
韭蔥,韭蔥切段
海鱺,海鱺
泡芙,長型閃電泡芙
刺鯧,肉鯽仔
洋火腿,洋火腿
菠菜,鸚鵡菜
起司,起司片
花生,鹹碎花生
豌豆粉,豌豆粉
蒜香黑糊椒醬,蒜香黑胡椒醬
田螺,田螺
益母草,益母草
豬胛心肉,夾心肉
胛心排,中排
鮭魚,煙三文魚他他
榨菜,炸菜
梅醋,梅狀元陳梅老醋
中濃醬,濃厚醬
紅葉萵苣,紅翠萵苣
象牙鳳螺,象牙鳳螺
海山醬,海山醬
香醋,香醋
白豆醬,白豆醬
大白菜,膠菜
百合鱗片,百合鱗片
蓮霧,黑金剛蓮霧
豆沙餅,豆沙餅
開心果,無調味開心果仁
九層塔,九成塔葉末
苦蔘根,苦蔘根
白鳳菜,白擔當
法式香料,普羅旺斯香料粉
椰子,椰子
滷牛筋,滷牛筋
苦苣,菊苣菜
章魚花枝漿,章魚花枝漿
薑,老薑
花生,脆花生
雞蛋,優鮮蛋
麻竹筍,正坭竹
猴頭菇,猴頭菇
蔗糖,蔗糖
切達起司,Cheddar
川七,男人菜
蓮葉,蓮葉
豬皮凍,豬皮凍
PIZZA醬,PIZZA醬
龍蝦,龍蝦肉
麵片,湯餅
雞腿,仿仔雞腿
魚肉,淡水魚
楊莓,楊梅
白蔭油,白蔭油
五寶果,伍寶果
切達起司,車打芝士
龍鬚菜,隼人瓜鬚
餅皮,蛋餅皮
醬油膏,油膏
蘋果,富士蘋果
拔葉萵苣,紅拔葉萵苣
乾藍梅粒,乾藍梅粒
哈密瓜,藍寶石洋香瓜
薯條,麥當勞的薯條
梅醬,黃梅純醬
牛油奶,牛油奶
米豆,白豆粒
藥燉排骨湯,藥燉排骨藥材
義式肉腸,肉腸
萊姆,秋來小果龍珠果
韓國年糕,韓國造型年糕
蒟蒻,魔芋
地瓜粉,地 瓜 粉
牡蠣,蚵仔
油雞,油雞
甘藍芽,甘藍芽
滷水,鹽鹵
奶水,三花奶水
植物油,山茶花籽油
蔥油餅,桂冠卡好蔥油派
蔥,珠蔥蔥綠
豬肝,生豬肝
羽衣甘藍,羽衣甘藍
桃子,白油桃
蝦,明蝦
荷蘭醬,荷蘭醬
焦糖醬,焦糖醬色
花椰菜,花椰菜
醬瓜,蔭瓜末
嫩精,嫩精
蜂蜜,桂花蜜
肉鬆,肉鬆
麥粉,面粉
醬瓜,醃瓜碎
柳橙,香丁
酸辣湯包,泰式酸辣湯醬料
半天筍,半天筍
胡椒粉,胡椒粉
蜂蜜,龍眼蜜
紅魚,紅魚
辛夷,木筆
帕馬森起司,帕馬乾酪
肉圓,肉圓
白蘿蔔,白蘿勃
海帶,昆布
鯧魚,倉魚
香菜根,香菜根
TABASCO,tabasco
黑木耳,雲耳
巧克力,朱古力
鵲豆,鵲豆
豬絞肉,絞肉餡
大麥,格蘭諾拉麥片
米粉,細米粉
竹輪,小竹輪
水菜,水菜
帶魚,油帶
餅乾粉,餅乾粉
白木耳,雪耳
花生,去皮花生
黃米,黍子
皮蛋,松花蛋
芒果,玉文芒果
葡萄,葡蔔
烤雞腿,烤雞腿
蔥,蔥
七葉蘭,七葉蘭葉
酵母粉,即發酵母粉
燒賣,港籠燒賣
四物藥包,四物中藥包
牛奶糖,牛奶糖
甜椒,三椒絲
鹽焗雞香料粉,鹽焗雞風味香料包
松茸菇,松茸菇
火腿,火腿肉
起司薄餅,起司薄餅
黑芝麻粉,黑芝麻糊
酸甜汁,酸甜汁
洋蔥,洋蔥塊
克林姆餡,克林姆餡
蛋黃醬,沙巴翁蛋黃醬
香樁醬,香樁醬
羽衣甘藍,牡丹菜
金盞花,金盞菊
龍骨,豬脊椎骨
醬油膏,萃釀系列甕釀油膏
炸醬,炸醬
高筋麵粉,洽發高粉
原味燒餅,燒餅
草莓,草苺
混合菇,綜合菇菇
混合菇,綜合菇菌
魷魚,魷魚
槓香藤,杠香藤
枇杷,金丸
鮑魚菇,平菇
牛五花肉,牛培根肉
沙朗牛排,沙朗牛排
小卷,熟小管
黑麥,黑麥汁
竹莢魚,竹莢魚
紫色花椰菜,紫花椰菜
菇菇炊飯,菇菇炊飯
紅扁豆,紅扁豆
魚肉,紅燒魚
紅條魚,七星斑
栗子,栗
茄子,茄子
天津丼,天津丼
酥心粉,酥心粉
泡麵,泡麵
蒜,蒜泥
脆瓜汁,脆瓜汁
白扁豆,細綿豆
落葵,潺菜
飯,白飯
花生,熟土豆
尖尾風,澤蘭
味醂,味霖
竹輪,竹輪
夏威夷豆,夏夷果仁
柳仔茄,柳仔茄
香瓜,黃香瓜
裙帶芽,裙帶芽
蜂蜜,抹茶蜜糖
三明治,法式炒蛋三明治
胡蘿蔔,甘旬
中筋麵粉,中筋粉
西瓜汁,超濃西瓜汁
石斑魚,龍膽石斑
起司粉,碎芝士
瑞可達起司,瑞可達起司
拉麵,甩麵
香草,雲呢拿
蔬菜汁,蔬菜汁
混合菇,綜合什錦菇
海蜇皮,涼拌海哲皮
奧勒岡,比薩草
菠菜,嫩波菜葉
大吉嶺茶,歐式大吉嶺茶
雞腳,黑雞瓜
雞醬,辣雞醬
雞胗,雞胗
飛刀,飛刀
雞精粉,牛頭牌雞晶粉
甘藷葉,地瓜葉
醬瓜,小蔭瓜
糖漬橙片,橙片
扇貝,扇貝
雞胸肉,雞胸
千寶菜,千寶菜
生魚片,生魚片
藥燉包,中藥包
筍,冬筍
甜蘿勒,甜蘿勒
甜菜,菾菜
煉乳,鷹牌鍊奶
車前草,豬耳朵棵子
植物油,固體菜油
奶油,有機牛油
丁香粉,丁香粉
油蔥酥,蔥油酥
酵種,酵種
豬里肌,安心豚里肌
香蕉,7-11上等蕉
薑,南薑切片
Oreo餅乾,歐利歐餅乾屑
石狗公,石狗公
栗子,糖漬栗子粒
糖水,糖水
梅花肉片,梅花肉片
蔥,乾蔥
鮭魚,鮭魚生魚片
義大利餃,意大利餃
粉蒸肉粉,粉蒸肉
煉乳,煉乳
筊白筍,皎白荀
魚香醬,魚香醬
魚滑,鯪魚滑
肝連肉,肝璉
胡椒粉,白糊椒鹽
洋菜,大菜
月桃葉,月桃葉
菜脯,菜甫
大頭菜,蕪菁
沙茶醬,沙茶醬
厚片吐司,全麥厚片
海藻,褐藻
食鹽,鹽巴
義大利香料,義大利香草料
鴨胸,鴨胸片
米,綠米
植物油,葵花油
雞翅,雞翅肉
龍葵,烏甜菜
可爾必思,可爾必思乳酸菌
鱘龍魚,鱘龍魚
柳松菇,柱狀田頭菇
黑豆,烏豆
味噌,甘口味噌
豬骨,肩胛骨
沙梭魚,沙腸魚
威化餅乾,威化餅乾
馬茲拉起司,馬扎瑞拉起司
蔬菜炒飯,蔬菜炒飯
羊排,羊菲力
醬油,和露
黃魚,黃花魚
馬茲拉起司,起司（mozzarella)
筍嫩尖,筍嫩尖
橄欖油,橄油
烏龍茶,烏龍茶葉
莧菜,荇菜
刺鯧,?鯧
茉莉茶梗,茉莉茶梗
豆枝,滷豆枝
杏鮑菇,杏菇鮑丁
糖心蛋,溏心蛋
烏魚子,烏魚子
可頌餅,可頌餅
海鮮炊飯料,西班牙海鮮炊飯料
吉利丁　,吉利丁膠片
鮑魚,仙女貝
鼠尾草,鼠尾草
海菜,澎湖海菜
巴西里,帕西里
米,白米
箭竹筍,玉筍
榛果,榛果果乾
蔥,青蔥綠蔥白省略
白醋,白酢
牛筋,牛蹄筋
排骨,豬仔骨
味噌,紅味增
素蛋黃,素蛋黃
起司,軟式辮子起司
培根,煙肉
蔥,鮮蔥
飯友,飯友
玫瑰花露,玫瑰花露
蘋果,加拉蘋果
大芥菜,長年菜
紫山藥丸子,紫山藥丸子
黃鰭鯛,黃鰭鯛
卡士達醬,卡式達醬
可爾必思,原味可爾必思
桂花,桂花
鍋粑,鍋巴
卡士達醬,卡士達醬
白乳酪,白乾酪
蝦醬,辣蝦膏
龍鬚菜,龍鬚菜
黑胡椒蘑菇醬,黑蘑醬
貝禮詩奶酒,Bailey's
伍仔魚,午魚
濃縮乳酸飲料,乳酸飲料
羊肉鍋湯,涮羊肉鍋湯汁
豬油,板油
烏梅汁,有機Q梅汁
燻雞片,煙燻雞片
鯧魚,白鯧魚
鳳柳汁,鳳柳汁
奶水,鮮奶奶粉水
奇異果,黃金奇異果肉
消化餅乾,麥維它消化餅
欖仁葉,欖仁葉
芥菜,刈菜
寡糖,寡糖
香蕉,蛋蕉
冬粉,乾粉絲
味精,鹽味精
牛膝,淮七
山水豆腐,山水豆腐
糖漿,香草糖漿
丹參潤膚湯,丹參潤膚湯
花生,鹽味花生
豬骨,豬支骨
紅鳳菜,補血菜
藍苺,藍苺
樹子,自製破布子
裝飾糖粒,裝飾糖粒
花旗蔘,洋蔘片
花椰菜,綠椰菜
豆瓣菜,西洋菜
乾蔥頭,細干蔥頭
花椒,花椒粒
糖漿,果露
海菜,水青菜
煎餅沾醬,煎餅沾醬
鮑魚,鮑魚
油魚,深海圓鱈
豬油,後腿油
油,家用油
七味粉,七味粉
花椒,花椒粉
鍋粑,鍋粑
甜八寶,愛之味甜八寶
蛋皮,蛋皮
海鮮,綜合海鮮
辣椒醬,韓國辣椒醬
山葵葉,山?菜
義大利玉米粥,義大利玉米粥
石斑魚,紅鰷
春捲皮,春捲皮
素肉,?素鮑魚
筍,鮮筍
白雪菇,7-11好菇道-白雪菇
伍斯特醬,英國黑醋
葛鬱金粉,天然葛鬱金粉
玉米粉,鷹粟粉
蜜汁醬,蜜汁醃醬
蝦,中蝦
玉米筍,小玉蜀黍
吉利丁　,吉力丁片
綠藻,綠藻粉
白蒜,白蒜
三寶粉,三寶粉
山楂,冷凍新鮮山楂
伍仔魚,午仔魚
班蘭葉,香林投
灣葉,灣葉
餅皮,圓餅皮
食茱萸,大葉刺蔥
莓果,新鮮莓果
起司,煙燻起司
百合,生百合花
巧克力,drak chocolate
蟹肉棒,蟹條
香鬆,日式香鬆
香鬆,味什麼什蔬香鬆
荳蔻粉,綠荳蔻
素火腿,素火腿肉
巴西里,香芹
巧克力,白巧克力
辣椒,紅辣椒片
鼠尾草,山艾粉
椰奶,椰槳
泡椒,泡椒
豬骨,骨盤骨
蛋絲,蛋絲
菠菜,嫩菠菜葉
柴魚粉,鰹魚乾
美乃滋,美奶滋
雞酒,麻油雞調理包
蘆筍,索羅羅
甜筒,餅乾甜筒
仙草,仙草
咸豐草,咸豐草
香菜,香菜梗
薤,薤白頭
果茸,果茸
炸雞,炸雞
豆蔻,肉豆蔻
牛樟菇,牛樟芝
發酵粉,發酵粉
馬鈴薯,有機馬玲薯
草魚,草魚尾
椒鹽,胡椒鹽
混合菇,綜合野菇片
辣椒醬,李錦記川式麻辣醬
濃湯塊,好侍北海道濃湯塊
炸魚,炸熟的魚
越瓜,稍瓜
排骨飯,排骨飯
雞腿肉,無骨雞腿
白蘿蔔,蘿蔔絲
白豆醬,白豆瓣醬
芽菜,有機芽菜組合
A菜,A菜
小豆蔻,白荳蔻
龍眼,桂圓
三角仔,狗坑仔
土虱魚,塘虱魚
炙耆,炙耆
鮭魚,三文魚排
香鬆,浦島香鬆
蒜味粉,日本蒜味粉
冰塊,碎冰塊
糖漿,糖蜜
鰹魚水,鰹魚水
珍珠菇,珍珠菇
海菜,海花菜
手指餅乾,Lady Finger
刺蔥粉,刺蔥嫩芽葉
松子仁,松子仁
Oreo餅乾,oreo
桃子,水蜜桃
螃蟹,花蟹
滷雞珍,滷雞珍
帕馬森起司,巴馬臣芝士
蟋蟀,蟋蟀
蒔蘿粉,新鮮蒔蘿末
烤雞粉,烤雞粉
洋蔥,洋?丁
蟹肉,新鮮蟹管肉
螺,雙龍牌螺肉罐頭
鮑魚菇,黑牡丹菇
蛋卷,蛋卷
蔥,蔥屑
蘆筍貝,蘆筍貝
義大利香料,義大利綜合香料
軟絲仔?,軟翅仔
玉米粉,粟粉
人蔘,高麗蔘
砂糖,榶
豌豆芽,豌豆苗
冷凍蔬菜,蔬菜丁
鯧魚,鯧
紅糖,brown sugar
紫洋蔥,紫玉蔥
蔥,蔥白
費南雪,金磚蛋糕
荳蔻粉,荳蔻粉Nutmeg
豬肉絲,里肌肉絲
塔皮,葡式蛋塔皮
櫻桃,表桃
七葉蘭,香蘭葉
薯餅,迷你圓薯餅
鮭魚,鮭魚片
香鬆,香鬆粉
甜椒,三色椒丁
米霖,米霖
玉米,小玉米
金線蓮,新鮮金線蓮
花豆,紅花菜豆
燕麥飯,燕麥飯
義大利香料,香料共合國義式綜合香料
枇杷,枇杷
奶油起司,creamcheese
拉麵,拉麵
甜蘿勒,甜蘿勒葉
紫蘇,大葉絲
五更腸旺,五更腸旺
火鍋料,義美燕餃
象牙鳳螺,鳳螺
烈酒,烈酒
咖啡,即溶咖啡粉
饅頭,小饅頭
薰衣草,薰衣草
油,調和油
杏仁,光中杏
辣椒水,辣椒水
薯條,薯條
豬里肌,嫩肩里肌
沙梭魚,沙梭魚
A菜,萵菜
菠菜,赤根菜
鯽魚,鯽魚
辣椒,剝皮辣椒
蒔蘿,蒔蘿
低筋麵粉,低筋麵粉
紀州梅,紀舟梅
粉心粉,中筋粉心粉
雞胸肉,放山古早雞雞胸
野莧菜,皺果莧
馬告,山胡椒
白斬雞,白斬雞肉
紅扁豆,峨眉豆
檸檬,檸 檬
巧克力,巧克豆
魚滑,魚滑
鴨肉條,紅面番鴨
香菇,椎茸
秈米,秈米
桔餅,桔餅
鹹鴨蛋,鹹杬
PIZZA醬,比薩醬
桑枝片,桑枝片
節瓜,綠櫛瓜
花菜心,花菜心
藥燉包,藥燉包
鹹酥芋絲,鹹酥芋絲
鴨肉條,土番鴨
鮮奶油,Single Cream
大理石片,大理石片
淡竹葉,淡竹葉
刈包,割包
燕麥,燕麥
味噌,味磳
草仔粿,草仔粿
紅罌栗泥,紅罌粟果泥
橘子,橘片
蔥,蔥切段
雞胸肉,chicken breast
九層塔,九層塔
排骨,一字排
魚醬,廣達香魚醬
冷凍蔬菜,自己喜好的蔬菜
番薯,紫芋地瓜
鮪魚,鮪魚罐
陽春麵,陽春麵
粉稞,粉稞
洛神醬,自製洛神醬無糖
雞肉,土雞肉
﻿牛肉,帶骨小牛肉
藥燉包,藥材包
角椒,角椒
牛奶,milk
氣泡酒,香檳
珍珠米,低卡珍珠米
花生,生花生
海膽,小海膽
蜜餞,橙皮蜜餞
甜豌豆,荷蘭豆菜心
花枝,烏賊
銀粉,可食銀珠
假人蔘,櫨蘭
豬蹄筋,蹄筋
蹄膀,腳蹄
太白粉,太白粉
冬菜,冬菜
炒餅,什錦炒餅
醬油雞,醬油雞
鮪魚,罐頭吞拿魚
落葵,蟳管菜
假人蔘,假人蔘
洛神醬,洛神原汁
二層肉,離緣肉
蓮花,蓮花
香菇,冬菇
百頁結,百頁結
紅腰豆,紅腰豆罐頭
義式花香醬,花香醬
魚肉,去骨魚
薑,薑絲
海苔,元本山對切海台
絲瓜,勝瓜
紀州梅,紀州梅
十全藥包,十全中藥
懷舊點心,7-SELECT懷舊點心
起司,笑笑牛起司
老抽,濃醬油
胡蘿蔔,紅羅蔔
破布籽,樹子仔
蒟蒻,雙色蒟弱
披薩皮,披薩皮
花生,罐頭花生
青江菜,青剛菜
豬骨,冬骨
泡打粉,無鋁炮打粉
米豆,白豆
扁尖筍,扁尖筍
茅屋起司,Cottage Cheeae
松子仁,松子粒
薤,薤
九尾草,通天草
卡士達醬,奶香餡
過溝菜,蕨萁
藥燉排骨湯,藥燉排骨湯汁
辣椒醬,Tabasco
粉蒸肉粉,粉蒸粉
蝦,泰國蝦
蝶豆藍花,藍花蝶豆
黃豆醬,黃豆醬
龍鬚菜,香櫞瓜苗
靈芝,靈芝菇丁
鬚苣,鬚苣
柱侯醬,柱侯醬
馬郁蘭,馬約蘭草
龍蒿葉,龍篙葉
大吉嶺茶,大吉嶺茶
椰果,椰子凝膠
火鍋料,火鍋餃
柳葉魚,喜相逢
酸奶油,酸奶油
煉乳,練乳
印度香料,Garam masala香料粉
豬耳朵,豬耳朵
砂糖,精緻細砂
豬耳朵,骨仔肉
鼠麴草,清明草
紅糖,棕糖 brown sugar
薑,乾薑
山槴子,山梔子
氣泡水,無糖汽泡水
羊鞭,羊鞭
甜桃果泥,蜜桃果泥
豆仔魚,豆仔魚
香豉醬,香豉醬
?蝦蛄,?蝦蛄
鱉,水魚
菜薊,朝鮮薊片
蘑菇醬,蘑菇醬
卡門貝爾起司,卡門貝爾乳酪
糖漬橙片,血橙片
砂糖,蔗糖粉
豬絞肉,豬紋肉
鮮味炒手,康寶鮮炒手
梨子,橫山梨
蔥,蔥綠
玫瑰花粉,天然玫瑰花粉
巧克力醬,榛果可可醬
開心果,開心果
蒜,去皮蒜粒
黃豆芽,大豆芽
燕窩,燕窩
鴻喜菇,紅喜菇
沙嗲醬,沙哆醬
春川燉雞塊調理醬,春川燉雞塊調理醬
松子仁,海松子
燒酒,燒酒
新北市健康三寶,新北市健康三寶
豆腐乳,霉豆腐
乾果,乾果
鹹鴨蛋,咸蛋
豆皮包,豆皮包
螃蟹,新鮮活蟹
白雪菇,白雪菇
紅糖,紅糖
西谷米,西米谷
玉米,玉黍黍
深綠色蔬菜,深綠色蔬菜
筍,筍
裝飾糖粒,彩糖
杏仁,杏片片
年糕,年糕切塊
白表,豬背油
麵衣,麵衣
食鹽,REALSALT
玉米筍,玉米筍
芥菜梗,芥菜梗
豬骨,前肢骨
迷迭香,迷迭香
潤餅皮,潤餅皮
青醬,青醬料
養樂多,養樂多《2罐》
夾心餅乾,夾心餅乾
紅糟,紅糟
香菇,香菇丁
香筍,香筍
烏龍茶,青茶茶包
茶碗蒸,茶碗蒸汁液
糖漬橙片,柳程片
蝦排,蝦排
釋迦,釋迦
穀類,穀類
砂糖,貳砂
熟地,伏地
節瓜,腿瓜
諾鈣C發泡錠,『諾鈣C發泡錠』
白菇,白精靈
海鮮,海鮮
麻糬,大福
吳郭魚,吳郭魚
土魠魚,竹鮫
醬油,龜甲萬和露
義大利醬,義大利醬
鰹魚鹽,鰹魚鹽
諾鈣 C,諾鈣ｃ
燕尾斑,野生魚鋪燕尾斑
麻婆豆腐淋醬,麻婆豆腐醬
魚肉,魚淨肉
A菜,刈葉萵苣
乾瓢,乾瓢
沙丁魚,沙丁魚
桔醬,客家橘醬
義大利麵,貝殼麵
酸豆,羅望子葉
義大利玉米粥,Polenta
棉花糖,marshmallows
牛樟菇,樟菇
高麗菜,甘藍
番薯,甘藷
紫米,冠德濁水溪台灣黑米
辣椒,斷魂椒
香鬆,三島香松
澳門大骨煲,澳門大骨煲
味噌,味曾
榛果,榛子
豬瘦肉,豬瘦肉
蔥,細香蔥末
法式香料,普羅旺司綜合香料
紅醬,紅醬調理包
果醬,鮮果醬
辣根,辣根
年糕,甜粿
翼豆,翼豆
棗子,蜜棗
荸薺,馬蹄
日本油菜,餅菜
車前草,芣?
透抽,真鎖管
川貝,川貝粉
酸辣湯包,酸辣湯
豬小腸,小腸
牛奶,鮮牛奶
日式鏗魚汁,日式鏗魚汁
蟹肉棒,蟹肉棒
雞蛋粉,雞蛋粉
年糕醬,韓式棒年糕
羊栖菜,羊栖菜
橘子,高牆桶柑
夏威夷豆,Macadamia
車蝦,花蝦
蔬菜麵,菠菜條
梅醬,梅香莊老梅膏
食鹽,健康減鈉鹽
菠菜,菠菜梗
雞腿排,雞腿排
起司,芝士條
咖啡,濃咖啡
紅色色素,食用色素紅
鹿肉,鹿肉
稜角絲瓜,金門菜瓜
果醬,蔓越莓果醬
水餃,冷凍餃子
蒜,蒜仔
椒鹽,楜椒鹽
菜豆,菜豆
蒜,蒜仁
茄苳,茄苳
青衣魚,黑斑豬齒魚
豬絞肉,細攪肉
餛飩皮,餛飩皮
雞精粉,鮮?粉
紅捲鬚,進口紅綠捲鬚生菜
沙魚煙,沙魚煙
雲吞,雲吞
砂糖,白糖
大麥,大麥片
秋葵,秋葵
奧勒岡,皮薩草
雞翅,鳳翼
蔬菜,蔬菜絲
花雕醉雞汁,花雕醉雞汁
榛果,榛果粒
榛果,榛果粉
亞麻子,大胡麻
魚肉,鮮魚
醬菜,醬菜
海帶,海帶絲
蒸肉粉,辣蒸肉粉
起司,cheese
豬腱子肉,腱子骨
蜜薯片,蜜薯片
葛縷子,葛縷子
蔬果汁,蔬果汁
裝飾糖粒,硬式糖霜
湯種,高筋湯種
泰式小圓茄,泰式小圓茄
薯泥,薯泥
南瓜,金瓜片
前排肉,前排肉
奶油起司,忌廉芝士 - Cream Cheese
豆腐,絹豆腐
黃桃,黃肉桃
香鬆,義美奶香鬆餅
百香果,熱情果
蘆筍,蘆筍
甜粽,鹼粽
橘子,金橘
沙朗牛排,牛外脊肉
番茄,蕃切丁
鵝腿,帶骨鵝腿
野韭菜,熊蔥
蘿蔓萵苣,蘿美萵苣
豬胛心肉,肩胛肉
香鬆,什蔬香鬆
焗烤起司,Pizza專用起司
烏龍茶,冰青茶
鯷魚,堤魚
魚湯,魚湯
白乳酪,白起士片
食用鹼,鹼粉
花生,辣花生
豆豉,嗜
乳酸菌粉,普羅優菌粉
九孔,台灣珍珠鮑魚
莫佐瑞拉起司,摩佐瑞拉起司
芒果,肯特芒果
人蔘,白蔘
洋菇,小白菇
拌飯粉,拌飯粉
魚肉,小魚
小白菜,小白菜
墨西哥捲餅,墨西哥捲餅
酸豆,酸梅樹
梅子粉,梅子粉
四物藥包,四物湯
草仔粿,田艾粄
豆蔻,白蔻
蓮霧,蓮霧
蔥,白蔥
葡萄酒,白葡萄酒
莓醬,有機草莓醬
黑罌栗,黑罌粒
豬骨,大骨
豬骨,豬骨
氣泡酒,汽泡酒
鮮奶油,鮮奶油
西式香料,歐式香料
醬瓜,瓜脯
草莓,Strawberry
蔥,蔥末
水果,綜合鮮果
乾蔥頭,干蔥
餅皮,Yufka
豬油,網油
香蒜粉,小磨坊蒜粉
起酥片,立基起酥片
龍鬚菜,佛手瓜苗
虎豆,花圓豆
酒醋膏,酒醋膏
藍莓,藍梅
蜜豆,大蜜豆
大豆卵磷脂,大豆卵磷脂
大豆卵磷脂,G98卵磷脂
蒔蘿,刁草
酪梨,牛油果
杏仁,杏仁果
九層塔,九層末
綜合丸,炸丸子
桑葚,桑葚子
泡菜鍋,泡菜湯底
蔬菜,綠葉蔬菜
龍蒿葉,龍篙葉碎
豬腱子肉,老鼠肉
蟹肉,人造蟹柳
火鍋料,綜合花鍋料
天津丼,天津飯
紫羅蘭,紫羅蘭
紹興酒,紹興花雕酒
核桃糕,核桃糕
可爾必思,可爾必思
烏骨雞肉,烏骨雞肉
牛腩醬,牛楠醬
高麗蔘精,高麗蔘精PLUS
豆薯,?薯
高山茶,高山茶汁
地瓜粉,地瓜粉
無子葡萄,無子紅葡萄
火龍果,紅火龍果
拌三絲,開陽拌三絲
酵母粉,速發乾酵粉
紅燒肉,紅燒肉
味噌,味噌
帕芙隆起士,帕芙隆起士
香菜,香菜末
莓果,冷凍綜合莓果
榴槤,榴槤
薑,姜片
草苺粉,草苺粉
桂花糖,桂花糖
鳳梨,鳳梨
中華鱘,鱘魚
辣腸,廣東辣腸
