V1,V2
AA0001,牛肉
AA0002,牛絞肉
AA0003,牛肉絲
AA0004,牛肉片
AA0005,牛排
AA0006,肩胛小排
AA0007,牛里肌
AA0008,牛肩肉
AA0009,板腱肉
AA0010,肋眼牛排
AA0011,牛小排
AA0012,牛肋排
AA0013,丁骨牛排
AA0014,紐約克牛排
AA0015,沙朗牛排
AA0016,腓力牛排
AA0017,牛菲力
AA0018,牛腰
AA0019,牛後腿肉
AA0020,牛臀肉
AA0021,牛腩
AA0022,雪花牛肉
AA0023,牛五花肉
AA0024,牛腱
AB0001,牛鞭
AB0002,牛腸
AB0003,牛尾
AB0004,牛舌
AB0005,牛心
AB0006,牛肝
AB0007,牛骨
AB0008,牛筋
AB0009,牛肚
AB0010,牛雜
AB0011,牛頭皮
AB0012,牛脂
AC0001,牛肉火腿
AC0002,牛肉丸子
BA0001,豬肉
BA0002,肥豬肉
BA0003,豬瘦肉
BA0004,豬肉片
BA0005,豬肉丁
BA0006,豬肉塊
BA0007,豬絞肉
BA0008,豬肉絲
BA0009,豬肉條
BA0010,豬排
BA0011,乳豬
BA0012,松阪豬
BA0013,豬梅花肉
BA0014,梅花肉片
BA0015,豬胛心肉
BA0016,胛心排
BA0017,豬軟骨排
BA0018,前排肉
BA0019,豬里肌
BA0020,豬里肌肉片
BA0021,二層肉
BA0022,龍骨
BA0023,豬里肌肉排
BA0024,排骨
BA0025,豬五花肉
BA0026,五花豬肉片
BA0027,子排
BA0028,豬肋排
BA0029,豬後腿肉
BA0030,豬腳
BA0031,蹄膀
BA0032,豬腱子肉
BA0033,嘴邊肉
BA0034,肝連肉
BB0001,虎掌
BB0002,豬蹄筋
BB0003,豬耳朵
BB0004,豬尾巴
BB0005,豬皮
BB0006,豬骨
BB0007,豬油
BB0008,白表
BB0009,網紗油
BB0010,豬舌
BB0011,豬心
BB0012,豬肝
BB0013,豬腸
BB0014,豬腦
BB0015,豬血
BB0016,豬肝
BB0017,豬肺
BB0018,豬肚
BB0019,腰子
BB0020,腰尺
BB0021,豬小腸
BB0022,豬大腸
BB0023,粉腸
BB0024,生腸
BB0025,豬小肚
BB0026,豬大腸頭
BB0027,豬眼筋
BB0028,豬脆管
BC0001,貢丸
BC0002,肉鬆
BC0003,肉角
BC0004,鹹肉
BC0005,臘肉
BC0006,臘腸
BC0007,肝腸
BC0008,辣腸
BC0009,香腸
BC0010,法蘭克福腸
BC0011,義式肉腸
BC0012,午餐肉
BC0013,匈牙利辣腸
BC0014,西班牙辣腸
BC0015,起司腸
BC0016,培根
BC0017,火腿
BC0018,洋火腿
BC0019,熱狗
BC0020,膨皮
BC0021,肉丸
CA0001,雞肉
CA0002,雞丁
CA0003,雞柳
CA0004,雞絞肉
CA0005,雞蓉
CA0006,雞肉絲
CA0007,雞胸肉
CA0008,雞里肌肉
CA0009,全雞
CA0010,半雞
CA0011,放山雞
CA0012,珠雞
CA0013,水雞
CA0014,春雞
CA0015,烏骨雞肉
CA0016,雞腳
CA0017,雞腿
CA0018,雞腿肉
CA0019,雞腿排
CA0020,棒棒腿
CA0021,雞翅
CA0022,雞屁股
CA0023,雞皮
CB0001,雞肝
CB0002,雞心
CB0003,雞胗
CB0004,雞睪丸
CB0005,雞油
CB0006,雞骨
CB0007,雞腸
CB0008,雞血
DA0001,羊肉
DA0002,羊肉片
DA0003,羊肩肉
DA0004,羊腰脊肉
DA0005,羊里肌肉
DA0006,羊胸肉
DA0007,小羔羊排
DA0008,羊排
DA0009,羊腿
DA0010,羊腩
DA0011,羊腱
DA0012,羊肚
DB0001,羊睪丸
DB0002,羊鞭
DB0003,羊大骨
DB0004,羊架
EA0001,鵝肉
EA0002,鵝胸肉
EA0003,鵝腿
EA0004,鵝腿肉
EA0005,鵝掌
EA0006,鵝肝
EA0007,鵝腸
EA0008,鵝油
EA0009,鵝血
EA0010,鵝胗
EA0011,鵝頭
EA0012,鵝肉丸
EA0013,鵝心
EB0001,鴨
EB0002,菜鴨
EB0003,水鴨
EB0004,鴨肉條
EB0005,鴨肉
EB0006,鴨柳
EB0007,鴨胸
EB0008,鴨頭
EB0009,鴨脖子
EB0010,鴨舌頭
EB0011,鴨翅膀
EB0012,鴨腳
EB0013,鴨腿
EB0014,鴨腿肉
EB0015,鴨心
EB0016,鴨肝
EB0017,鴨腸
EB0018,鴨胗
EB0019,鴨血
EB0020,鴨油
EB0021,鴨骨
EC0001,田雞
EC0002,鴿肉
EC0003,鴕鳥肉
EC0004,鴕鳥頸肉
EC0006,鴕鳥腩肉
EC0007,鹿肉
EC0008,螺肉
EC0009,田螺
EC0010,象牙鳳螺
EC0011,蠑螺
EC0012,香螺
EC0013,珠螺
EC0014,螺
EC0015,鮑片
EC0016,乾螺頭
EC0017,蛇肉
EC0018,鵪鶉
EC0019,麥皮蟲
EC0020,蟋蟀
EC0021,兔肉
EC0022,藤壺
EC0023,火雞肉
FA0001,魷魚
FA0002,魷魚乾
FA0003,魷魚嘴
FA0004,花枝
FA0005,透抽
FA0006,小卷
FA0007,章魚
FA0009,海參
FA0010,海蜇皮
FA0011,海蜇頭
FA0012,海膽
FA0013,墨魚汁
FB0001,蚌
FB0002,蚌殼
FB0003,蛤
FB0004,蛤乾
FB0005,海瓜子
FB0006,九孔
FB0007,竹蟶
FB0008,西施舌
FB0009,蘆筍貝
FB0010,蘭花蚌
FB0011,北極貝
FB0012,象拔蚌
FB0013,鮑魚
FB0014,扇貝
FB0015,干貝
FB0016,蜆
FB0017,牡蠣
FB0018,榮螺肉
FC0001,蝦
FC0002,車蝦
FC0003,蝦仁
FC0004,蝦仁乾
FC0005,蝦丁
FC0006,炸蝦
FC0007,蝦泥
FC0008,蝦肉丁
FC0009,白剌蝦
FC0010,櫻花蝦
FC0011,蝦母
FC0012,海蝦
FC0013,溪蝦
FC0014,蝦蛄
FC0015,蝦米
FC0016,蝦籽
FC0017,蝦皮
FC0018,蝦醬
FC0019,蝦卵
FC0021,蝦漿
FC0022,蝦丸
FC0023,蝦殼
FC0024,蝦球
FC0025,蝦頭
FC0026,蝦排
FC0027,蝦皮
FC0028,熟蝦
FC0029,紅蟹
FC0030,旭蟹
FC0031,海蟹
FC0032,螃蟹
FC0033,蟹肉
FC0034,蟹黃
FC0035,蟹腳
FC0036,軟殼蟹
FC0037,大閘蟹
FC0038,毛蟹
FC0039,帝王蟹
FC0040,鱈場蟹
FC0041,熟地蟹
FC0042,蟳
FC0043,膏蟹
FC0044,三點蟹
FC0045,花蟹蚶
FC0046,沙蟹
FC0047,蟹鉗
FC0048,蟹殼
FC0049,金門蟹
FC0050,鱉
FC0051,龍蝦
FD0001,魚肉
FD0002,鮭魚
FD0003,鯛魚
FD0004,鮪魚
FD0005,鱈魚
FD0006,鱸魚
FD0007,白魚
FD0008,黃魚
FD0009,小黃魚
FD0010,紅魚
FD0011,銀魚
FD0012,柴魚
FD0013,吳郭魚
FD0014,鯖魚
FD0015,虱目魚
FD0016,秋刀魚
FD0017,土魠魚
FD0018,白北魚
FD0019,香魚
FD0020,旗魚
FD0021,石斑魚
FD0022,鰻魚
FD0023,海鰻
FD0024,河鰻
FD0025,鯽魚
FD0026,草魚
FD0027,鯧魚
FD0028,刺鯧
FD0029,鯉魚
FD0030,魴魚
FD0031,鰱魚
FD0032,帶魚
FD0033,吻仔魚
FD0034,丁香魚
FD0035,沙丁魚
FD0036,沙梭魚
FD0037,石狗公
FD0038,金線魚
FD0039,柳葉魚
FD0040,多利魚
FD0041,鯷魚
FD0042,比目魚
FD0043,烏魚
FD0044,鱔魚
FD0045,鯊魚
FD0046,鰹魚
FD0047,油魚
FD0048,竹莢魚
FD0049,小吉魚
FD0050,赤宗魚
FD0051,紅尾冬魚
FD0052,紅甘魚
FD0053,鰤魚
FD0054,馬頭魚
FD0055,中華鱘
FD0056,鱘龍魚
FD0057,四破魚
FD0058,目孔魚
FD0060,黃鰭鯛
FD0061,水針魚
FD0062,象魚
FD0063,土虱魚
FD0064,黑喉
FD0065,紅鱸
FD0066,翻車魚
FD0067,皮刀魚
FD0068,鱒魚
FD0069,多利魚
FD0070,冰魚
FD0071,黑加網
FD0072,金眼鯛
FD0073,花魚
FD0074,燕尾斑
FD0075,青鱗魚
FD0076,燕魚
FD0077,竹筴魚
FD0079,殼魚
FD0080,黃雞魚
FD0081,青衣魚
FD0082,飛刀
FD0083,伍仔魚
FD0084,鯪魚
FD0085,金梭魚
FD0086,鬼頭刀
FD0087,紅槽魚
FD0088,豆仔魚
FD0089,鱒鮭
FD0090,寶石魚
FD0091,龍利魚
FD0092,脆皖魚
FD0093,海泥鰍
FD0094,泥鰍
FD0095,劍旗魚
FD0096,紅條魚
FD0097,三角仔
FD0098,蘭勃舵魚
FD0099,青嘴魚
FD0100,青星九刺鮨
FD0101,鰈魚
FD0102,海鱺
FD0103,甘仔魚
FD0104,飛魚
FD0105,青魚
FD0106,紅目鰱
FD0107,鯰魚
FE0001,魚肚
FE0002,魚腸
FE0003,魚頭
FE0004,魚骨
FE0005,魚下巴
FE0006,魚尾巴
FE0007,魚皮
FE0008,明太子
FE0009,魚卵
FE0010,鮭魚卵
FE0011,生魚片
FE0012,魚湯
FE0013,魚菲力
FE0014,松阪魚
FE0015,魚柳
FE0016,魚雜
FE0017,龍腸
FF0001,魚板
FF0002,魚露
FF0003,魚漿
FF0004,章魚花枝漿
FF0005,甜不辣
FF0006,小魚乾
FF0007,魚丸
FF0008,鹹魚
FF0009,魚鬆
FF0010,魚餃
FF0011,魚蛋
FF0012,一夜干
FF0013,魚乾
FF0014,蟹肉棒
FF0015,竹輪
FF0016,黑輪
FF0017,鳴戶卷
FF0018,沙魚煙
FF0019,柴魚粉
FF0020,魚高湯
FF0021,烏魚子
FF0022,鱈寶
FF0023,魚翅
FF0024,魚餅
FF0025,魚酥
FF0026,醃魚
FF0027,魚油
FF0028,魚粉
FF0029,魷魚絲
FF0030,魚唇
FF0031,魚滑
FF0032,魚醬
GA0001,小黃瓜
GA0002,黃瓜
GA0003,黃瓜皮
GA0004,絲瓜
GA0005,稜角絲瓜
GA0006,冬瓜
GA0007,冬瓜皮
GA0009,苦瓜
GA0010,南瓜
GA0012,日本南瓜
GA0013,菊花南瓜
GA0014,西葫蘆
GA0015,葫蘆
GA0016,瓠瓜
GA0017,節瓜
GA0018,越瓜
GA0019,筍瓜
GA0020,佛手瓜
GA0021,酪梨
GA0022,蛇瓜
GA0023,青木瓜
GA0024,碟瓜
GA0025,番茄
GA0026,秋葵
GA0027,茄子
GA0028,水茄
GA0029,泰式小圓茄
GA0030,人參果
GA0031,番椒
GA0032,青龍辣椒
GA0034,甜椒
GA0035,角椒
GA0036,米椒
GA0037,翡翠椒
GB0001,水果
GB0002,芒果
GB0003,芭樂
GB0004,梨子
GB0005,紅梨
GB0006,鴨梨
GB0007,柿子
GB0008,柚子
GB0009,香柚皮
GB0010,葡萄
GB0011,無子葡萄
GB0012,葡萄柚
GB0013,香蕉
GB0014,西瓜
GB0015,木瓜
GB0016,香瓜
GB0017,哈密瓜
GB0018,桃子
GB0019,甜桃
GB0020,脆桃
GB0021,黃桃
GB0022,李子
GB0023,加州李
GB0024,小番茄
GB0025,蘋果
GB0026,青蘋果
GB0027,蓮霧
GB0028,柳橙
GB0029,橙橘
GB0030,橘子
GB0031,鳳梨
GB0032,釋迦
GB0033,荔枝
GB0034,龍眼
GB0035,棗子
GB0036,草莓
GB0037,藍莓
GB0038,蔓越莓
GB0039,櫻桃
GB0040,楊桃
GB0041,山竹
GB0042,檸檬
GB0043,檸檬皮
GB0044,檸檬葉
GB0045,萊姆
GB0046,甘蔗
GB0047,甘蔗渣
GB0048,枇杷
GB0049,椰子
GB0050,椰纖
GB0051,榴槤
GB0052,蛋黃果
GB0053,番石榴
GB0054,紅毛丹
GB0055,龍鳳果
GB0056,嘉寶瓜
GB0057,百香果
GB0058,奇異果
GB0059,梅子
GB0060,烏梅
GB0061,金桔
GB0062,柑桔
GB0063,桔皮
GB0064,火龍果
GB0065,桑葚
GB0066,覆盆子
GB0067,藍苺
GB0068,樹莓
GB0069,醋栗
GB0070,紅醋栗
GB0071,杏桃
GB0072,波蘿蜜
GB0073,越橘
GB0074,甘果
GB0075,燈籠果
GC0001,花椰菜
GC0002,白花椰菜
GC0003,青花椰苗
GC0004,紫色花椰菜
GC0005,花菜心
GC0006,綠金針
GC0007,金針花
GC0008,美人心
GC0009,油菜花
GC0010,石蓮花
GC0011,檳榔花
GC0012,韭菜花
GC0013,芥蘭菜
GC0014,節瓜花
GC0015,寶塔花菜
GC0016,菜薊
GD0001,貝芽菜
GD0002,乾枇杷葉
GD0003,打拋葉
GD0004,千寶菜
GD0005,青江菜
GD0007,空心菜
GD0008,大陸妹
GD0009,茄茉菜
GD0010,芝麻菜
GD0011,客家褔菜
GD0012,水楊菜
GD0013,甘藷葉
GD0014,臭菜
GD0015,莧菜
GD0016,芋莖
GD0017,豆瓣菜
GD0018,油菜
GD0019,日本油菜
GD0020,芥菜
GD0021,芥菜梗
GD0022,大芥菜
GD0023,大心芥菜
GD0024,娃娃菜
GD0025,芥藍芽
GD0026,茼蒿
GD0027,落葵
GD0028,紅梗珍珠菜
GD0029,紅鳳菜
GD0030,美國空心菜
GD0031,食茱萸
GD0032,香樁
GD0033,甜菜根
GD0034,媚仔菜
GD0035,黃麻菜
GD0036,乾蓮葉
GD0037,甜菊葉
GD0038,雞屎藤
GD0039,菁菜
GD0040,茄冬葉
GD0041,紫蘇
GD0042,豇菜
GD0043,沙律菜
GD0044,萵苣
GD0045,A菜
GD0046,苦苣
GD0047,鹿角萵苣
GD0048,蘿蔓萵苣
GD0049,紅葉萵苣
GD0050,廣東萵苣
GD0051,奶油萵苣
GD0052,紫萵苣
GD0053,萵筍
GD0054,鬚苣
GD0055,美生菜
GD0056,冰山捲心
GD0057,拔葉萵苣
GD0058,波士頓萵苣
GD0059,紅捲鬚
GD0060,菜心
GD0061,綠捲鬚
GD0062,薺菜
GD0063,大白菜
GD0064,小白菜
GD0065,白菜芽
GD0066,芥藍菜
GD0067,高麗菜
GD0068,甘藍芽
GD0069,紫高麗菜
GD0070,包心芥菜
GD0071,大頭菜
GD0072,紫色甘藍
GD0073,白菜心
GD0074,羽衣甘藍
GD0075,山芹菜
GD0076,芹菜
GD0077,西洋芹菜
GD0078,土芹菜
GD0079,山蘇菜
GD0080,水菜
GD0081,鴨鵝芹
GD0082,假人蔘
GD0083,龍鬚菜
GD0085,野韭菜
GD0086,貢菜
GD0087,過溝菜
GD0088,白鳳菜
GD0089,荷葉白菜
GD0090,蚵仔白菜
GD0091,野莧菜
GD0092,菠菜
GD0093,葵扇白菜
GD0094,黑豆芽
GD0095,葵花芽
GD0096,蕎麥芽
GD0097,水麥芽
GD0098,蘿蔔芽
GD0099,綠豆芽
GD0100,紫高活芽
GD0101,豌豆芽
GD0102,黃豆芽
GD0103,苜蓿芽
GD0104,水麥芽
GD0105,大根芽
GD0106,苜宿芽
GD0107,筍
GD0108,筍乾
GD0109,桂竹筍
GD0110,扁尖筍
GD0111,箭竹筍
GD0112,綠竹筍
GD0113,烏殼綠竹筍
GD0114,筍嫩尖
GD0115,沙拉筍塊
GD0116,麻竹筍
GD0117,孟宗竹筍
GD0118,玉米筍
GD0119,香菜根
GD0120,海蘆筍
GD0121,蘆筍
GD0122,半天筍
GD0123,筊白筍
GD0124,雪裡紅
GD0125,蓴菜
GD0126,水蓮菜
GD0127,秋葵
GE0001,豇豆
GE0002,菜豆
GE0003,鵲豆
GE0004,花豆
GE0005,萊豆
GE0006,毛豆
GE0007,甜豌豆
GE0008,豌豆仁
GE0009,荷蘭豆
GE0010,白腰豆
GE0011,紅腰豆
GE0012,翼豆
GE0013,蛇豆
GE0014,甜豆
GF0001,番薯
GF0002,馬鈴薯
GF0003,芋頭
GF0004,山藥
GF0005,豆薯
GF0006,胡蘿蔔
GF0007,白蘿蔔
GF0008,青蘿蔔
GF0009,甜菜
GF0010,洋蔥
GF0011,蓮藕
GF0012,藕粉
GF0013,南瓜
GF0014,冬瓜
GF0015,菱角
GF0016,樹薯
GF0017,歐防風
GF0018,荸薺
GF0019,川牛膝
GF0020,蘆薈
GF0021,紫洋蔥
GG0001,調味蔬菜
GG0002,冷凍蔬菜
GG0003,三色蔬菜
GG0004,深綠色蔬菜
GG0005,彩色蔬菜
GG0007,蔬菜乾
GG0008,蔬菜條
GG0009,芽苗菜
GG0010,鼠麴草
GG0011,艾草
GG0012,厥子
GG0013,銀杏
GG0014,榨菜
GG0015,酸菜
GG0016,醃菜
GG0017,福菜
GG0018,梅菜
GG0019,鹽膚木
GG0020,龍葵
GG0021,百合鱗片
GG0022,乾百合鱗片
GG0023,青龍菜
GG0024,豬母菜
GG0025,麻薏
GG0026,麻薏粉
GG0027,楊莓
GG0028,金銀菜
GG0029,班蘭葉
GG0030,藤心
GG0031,西洋菊苣
GG0032,雞骨草
GG0033,仙鶴草
GG0034,芽菜
GG0035,慈菇
GG0036,龍舌蘭
GG0037,欖仁葉
GG0038,羊奶頭
GH0001,醬筍
GH0002,醬瓜
GH0003,鹹菜
GH0004,冬菜
GH0005,武林菜
GH0006,酸黃瓜
GH0007,水果罐頭
GH0008,莓果
GH0009,糖漬蔓越苺果粒
GH0010,莓果乾
GH0011,果乾
GH0012,芒果乾
GH0013,情人果
GH0014,柿乾
GH0015,葡萄乾
GH0016,罐裝蜜桃
GH0017,糖漬橙片
GH0018,甜桃果泥
GH0019,脆李
GH0020,脆梅
GH0021,話梅
GH0022,西梅乾
GH0023,日本梅
GH0024,紫蘇梅
GH0026,紹興梅
GH0027,荔枝果泥
GH0028,紅龍果泥
GH0029,龍眼乾
GH0030,黑棗
GH0031,棗泥
GH0032,草苺乾
GH0033,草苺泥
GH0034,乾藍梅粒
GH0036,椰棗
GH0037,無籽加州梅
GH0038,茶梅
HA0001,豆干
HA0002,豆枝
HA0003,蘭花干
HA0004,豆包
HA0005,豆胗
HA0006,豆漿
HA0007,腐皮
HA0008,豆皮包
HA0009,納豆
HA0010,臭豆腐
HA0011,山水豆腐
HA0012,杏仁豆腐
HA0013,豆腐
HA0014,胡麻豆腐
HA0015,豆腐乳
HA0016,豆豉
HA0017,味噌
HA0018,干絲
HA0019,板豆腐
HA0020,蛋豆腐
HA0021,百頁豆腐
HA0022,百頁結
HA0023,油豆腐
HA0024,千張
HA0025,素雞
HA0026,豆籤
HA0027,凍豆腐
HA0028,芝麻豆腐
HA0029,油揚
HA0030,炸豆腐
HA0031,素火腿
HA0032,豆花
HA0033,豆沙
HA0034,豆渣
HA0035,素肉丸
HA0036,素腰花
HA0037,素輪
HA0038,素肚
HA0039,素豆腸
HA0040,素香鬆
HA0041,素肉
HA0042,豆酥
HA0043,焗豆
HA0044,丹貝
HA0045,羊羹
HA0046,豆輪
HA0047,皮絲
HA0048,豆棗
HB0001,蛋液
HB0002,蛋末
HB0003,蛋絲
HB0004,蛋白
HB0005,蛋黃
HB0006,雞蛋
HB0007,鴨蛋
HB0008,鵪鶉蛋
HB0009,鐵蛋
HB0010,鴿蛋
HB0011,鵝蛋
HB0012,雞蛋粉
HB0013,糖心蛋
HB0014,皮蛋
HB0015,鹹鴨蛋
HB0016,水煮蛋
HB0017,紅蛋
HC0001,花生
HC0002,花生粉
HC0003,蒜花生碎
HC0004,決明子
HC0005,核桃
HC0006,山核桃
HC0007,栗子
HC0008,腰果
HC0009,蓮子
HC0010,蓮茸
HC0011,杏仁
HC0012,松子仁
HC0013,芡實
HC0014,榛果
HC0015,堅果
HC0016,夏威夷豆
HC0017,南瓜子
HC0018,無花果
HC0019,開心果
HC0020,愛玉子
HC0021,西谷米
HC0022,鷹嘴豆
HC0023,紅腰豆
HC0024,黑豆
HC0025,黃豆
HC0026,紅豆
HC0027,綠豆
HC0028,花豆
HC0029,米豆
HC0030,樹豆
HC0031,翅膀豆
HC0032,虎豆
HC0033,亞麻子
HC0034,白扁豆
HC0035,紅扁豆
HC0036,五香豆
HC0037,蝶豆藍花
HC0038,雜豆
HC0039,綜合豆
HC0040,豆酥碎
HC0041,可可豆
HC0042,伍仁果
HC0043,蠶豆
HC0044,鳥豆
HC0045,白刀豆
HC0046,蜜豆
HC0047,咖啡豆
HC0048,混合生豆
HC0049,香草籽
HC0050,莧菜籽
HC0051,奇亞籽
HC0052,奇雅籽
HC0053,破布籽
HC0054,亞答子
HC0055,亞麻籽
HC0056,葵瓜子
HC0057,西瓜子
HC0058,洋車前子
HC0059,胚芽
HC0060,羅勒子
HC0061,南瓜籽
HC0062,澎大海
HC0063,大麻籽
HD0001,奶精
HD0002,奶球
HD0003,鮮奶油
HD0004,奶粉
HD0005,奶水
HD0006,牛奶
HD0007,奶泡
HD0008,乳清
HD0009,牛油奶
HD0010,椰奶
HD0011,煉乳
HD0012,奶酪
HD0013,奶酥
HD0014,濃縮奶
HD0015,配方奶
HD0016,保久乳
HD0017,脫脂乳
HD0018,奶酪
HD0019,優格
HD0020,優酪乳
HD0021,母乳
HD0022,酪漿
HD0023,奶混合奶油
HD0024,法式酸奶
HD0025,十穀奶
HE0001,起司
HE0002,起司粉
HE0003,羊起司
HE0004,馬茲拉起司
HE0005,帕馬森起司
HE0006,瑪斯卡彭起司
HE0007,卡門貝爾起司
HE0008,瑞可達起司
HE0009,格呂耶爾起司
HE0010,切達起司
HE0011,茅屋起司
HE0012,白乳酪
HE0013,布利乳酪
HE0014,莫佐瑞拉起司
HE0015,藍起司
HE0016,奶油起司
HE0017,帕達諾起司
HE0018,焗烤起司
HE0019,貝爾佩斯起司
HE0020,帕芙隆起士
